title,author,summary,themes,mood_tags
Good Omens,Terry Pratchett and Neil Gaiman,"According to the Nice and Accurate Prophecies of Agnes Nutter, Witch, the world will end on a Saturday. Next Saturday, in fact, just before tea. But Aziraphale, an angel who runs a rare bookshop, and Crowley, a demon who's not altogether bad, have grown accustomed to their comfortable lives on Earth and are not particularly looking forward to the Apocalypse. So they team up to try and stop it, having misplaced the Antichrist (an 11-year-old boy named Adam) somewhere in the English countryside. A hilarious, apocalyptic comedy about the end of the world.","Good vs Evil, Prophecy, Friendship, Apocalypse, Humanity","witty, hilarious, clever, irreverent, quirky, satirical, fun, fast-paced, charming"
The Song of Achilles,Madeline Miller,"A sweeping and heartbreaking retelling of the Trojan War, as seen through the eyes of Patroclus, a young, awkward prince exiled to the court of King Peleus. There, he forms an unlikely bond with the king's son, the golden, godlike Achilles. Their deep friendship blossoms into a powerful, tender love. When Achilles is called to fight in the Trojan War, Patroclus follows, knowing that a prophecy foretells Achilles will die if he kills the Trojan hero, Hector. It's a devastatingly beautiful story of love, honor, and fate.","Mythology, Love, Fate, War, Glory","lyrical, tragic, romantic, epic, heart-wrenching, beautiful, emotional, sweeping, passionate"
Educated,Tara Westover,"Tara Westover was born into a radical, survivalist family in the mountains of Idaho. She had no birth certificate, never set foot in a classroom, and was treated by her bipolar father for injuries with herbalism. Her violent brother was a constant threat. Hungry for knowledge and a different life, she taught herself enough mathematics and grammar to be admitted to Brigham Young University. Her memoir is a searing, powerful account of her struggle to reconcile her love for her family with her desire for an education, and the immense cost of leaving home.","Memoir, Family, Education, Identity, Resilience","inspiring, harrowing, powerful, thought-provoking, emotional, intense, gripping, reflective"
The Martian,Andy Weir,"During a manned mission to Mars, astronaut Mark Watney is presumed dead and left behind by his crew during a fierce storm. Now, he is alone on a desolate planet with no way to signal Earth that he's alive, and only enough supplies to last a fraction of the time until the next mission arrives. Using his ingenuity, engineering skills, and dark sense of humor, he must figure out how to survive, grow food, and communicate with NASA, all while millions of miles from home. A thrilling and surprisingly funny story of survival against all odds.","Survival, Science, Problem-Solving, Isolation, Resilience","funny, suspenseful, clever, optimistic, thrilling, nerdy, fast-paced, engaging, scientific"
Where the Crawdads Sing,Delia Owens,"For years, rumors of the 'Marsh Girl' have haunted Barkley Cove, a quiet coastal town in North Carolina. Kya Clark is the abandoned daughter of a dysfunctional family, who has raised herself alone in the dangerous marshlands since childhood. When the town's golden boy, Chase Andrews, is found dead, the locals immediately suspect Kya. The story masterfully intertwines a coming-of-age narrative about Kya's fierce independence and a secret love affair with a murder investigation, exploring the raw power of nature and the profound effects of isolation.","Mystery, Nature, Isolation, Coming-of-Age, Prejudice","atmospheric, lyrical, suspenseful, poignant, immersive, beautiful, sad, compelling, mystery"
Murder on the Orient Express,Agatha Christie,"Just after midnight, the famous Orient Express is stopped dead in its tracks by a snowdrift in the middle of nowhere. By morning, an American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside. Luckily for the passengers, the legendary detective Hercule Poirot is also on board. With the killer still present, Poirot must sift through a train full of suspects with conflicting stories and motives to solve the seemingly impossible crime. A classic locked-room mystery.","Justice, Revenge, Morality, Detection, Class","clever, classic, puzzling, suspenseful, intriguing, fast-paced, atmospheric, intellectual"
The Night Circus,Erin Morgenstern,"The circus arrives without warning, simply appearing overnight, black and white and striped with no advertisements. Within its tents, an intense, decades-old magical competition is underway between two young illusionists, Celia and Marco, who have been trained since childhood for this purpose. Unbeknownst to them, they are pawns in a game played by their enigmatic mentors, and only one can survive. As their rivalry deepens into love, they begin to realize the stakes are far higher than they ever imagined. The prose is lush, dreamlike, and utterly enchanting.","Magic, Love, Rivalry, Fate, Artistry","enchanting, dreamy, romantic, atmospheric, lyrical, magical, immersive, whimsical, lush"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Aging and reclusive Hollywood icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. She chooses unknown magazine reporter Monique Grant for the job, a choice no one can understand. As Evelyn unfolds her story, from escaping Cuba in the 1950s to becoming a superstar and navigating seven marriages, she reveals a shocking, decades-spanning love affair and the immense personal cost of fame. It's a gripping tale of ambition, sacrifice, and the search for true love.","Hollywood, Ambition, Love, Identity, Sacrifice","glamorous, addictive, emotional, scandalous, heartbreaking, captivating, romantic, fast-paced"
Jonathan Strange & Mr Norrell,Susanna Clarke,"Set in an alternate 19th-century England, where magic was once common but has long since faded. Two very different magicians emerge: the reclusive, scholarly Mr. Norrell, who is determined to bring magic back, and the dashing, charismatic Jonathan Strange. Their partnership, born of a common goal, soon turns into a bitter rivalry. Their battle for supremacy draws them into the Napoleonic Wars, the treacherous world of faeries, and the dark secrets of English magic. A dense, witty, and immersive masterpiece of historical fantasy.","Magic, Rivalry, History, Faeries, Knowledge","intricate, witty, dark, immersive, epic, dense, atmospheric, clever, academic"
Flowers for Algernon,Daniel Keyes,"Charlie Gordon, a man with an intellectual disability, is chosen for an experimental surgical procedure that promises to dramatically increase his intelligence. The story is told through Charlie's own"," which start as childlike, misspelled accounts of his day. As his IQ triples, he becomes a genius, surpassing his doctors and falling in love. But he also gains painful memories of his past and the cruel treatment he endured. He watches as his new intelligence, and the mouse named Algernon who preceded him, begins to fade. A profound and heartbreaking exploration of intelligence, humanity, and the soul.","Intelligence, Humanity, Ethics, Loneliness, Science",heartbreaking, thought-provoking, poignant, tragic, emotional, philosophical, character-driven, sad
"Red, White & Royal Blue",Casey McQuiston,"Alex Claremont-Diaz, the son of the first female President of the United States, has a public rivalry with Prince Henry of Wales. After a disastrous altercation at a royal wedding, the two are forced to stage a", however, soon ignites into something much deeper. The novel is a hilarious, steamy, and deeply romantic love story that tackles politics, identity, and the struggle for a happy ending in the public eye.,LGBTQ+, Romance, Politics, Identity, Family,romantic, funny, steamy, heartwarming, hopeful, charming, witty, feel-good, fast-paced
The Ocean at the End of the Lane,Neil Gaiman,"A man returns to his childhood home for a funeral and is drawn to the farm at the end of the lane, where his friend Lettie Hempstock lived. Sitting by the pond she called an ocean, he begins to remember a terrifying, magical period from his childhood. When a sinister, otherworldly menace invades his reality, it is Lettie and her remarkable family—women who have lived for millennia and possess immense power—who protect him. It's a haunting, beautiful novella about memory, childhood fears, and the vast power hidden in small, ordinary things.","Memory, Childhood, Magic, Fear, Sacrifice","haunting, lyrical, nostalgic, dark, emotional, magical, dreamlike, bittersweet, beautiful"
Project Hail Mary,Andy Weir,"Ryland Grace wakes up alone on a spaceship with amnesia. As his memory returns, he realizes he is humanity's last hope on a desperate mission to save Earth from a cosmic disaster. Stranded light-years from home with two dead crewmates, he must use his scientific knowledge to survive. The story becomes a brilliant and heartwarming tale of problem-solving, friendship with an unexpected alien companion, and the power of collaboration against impossible odds. It's funny, tense, and deeply optimistic.","Friendship, Sacrifice, Science, Exploration, Survival","suspenseful, funny, hopeful, heartwarming, thrilling, optimistic, clever, page-turner, nerdy"
Circe,Madeline Miller,"An intoxicating feminist retelling of the story of Circe, the nymph witch from Homer's Odyssey. Born without the power of her divine parents, Circe is banished to the remote island of Aiaia. There, she hones her craft of witchcraft, tames wild beasts, and crosses paths with famous mythological figures like the Minotaur, Daedalus, and Odysseus. The novel is a stunning exploration of loneliness, the quest for independence, and the quiet power of finding one's own voice in a world of gods and monsters.","Mythology, Feminism, Empowerment, Loneliness, Identity","lyrical, empowering, epic, emotional, enchanting, savage, atmospheric, character-driven, bittersweet"
Klara and the Sun,Kazuo Ishiguro,"Klara is an 'Artificial Friend' designed to prevent loneliness in children. She waits patiently in a store for a child to choose her, observing the world outside and worshipping the Sun, which she believes gives life. When she is finally purchased by a sickly girl named Josie, Klara dedicates herself entirely to her new charge. Told from Klara's unique, limited perspective, the novel is a quietly devastating exploration of love, sacrifice, what it means to be human, and whether the heart can ever be truly replicated.","Artificial Intelligence, Love, Humanity, Mortality, Sacrifice","poignant, melancholic, gentle, thought-provoking, sad, hopeful, philosophical, slow-burn, tender"
Legends & Lattes,Travis Baldree,"After a lifetime of bounties and bloodshed, Viv, a battle-hardened orc, decides to hang up her sword for good. Her new dream? To open the first coffee shop in the city of Thune. The novel follows her as she navigates the challenges of small business ownership, renovating a dilapidated livery, and befriending a motley crew of townsfolk, all while a shadow from her past threatens her peaceful new life. It's a cozy, low-stakes fantasy about found family, second chances, and the simple pleasure of a good cup of coffee.","Found Family, Redemption, Community, New Beginnings, Fantasy","cozy, heartwarming, wholesome, charming, low-stakes, comforting, delightful, fun, gentle"
The Silent Patient,Alex Michaelides,"Alicia Berenson's life seems perfect. She is a famous painter married to a fashionable photographer. Then, one evening, she shoots her husband five times in the face and never speaks another word. Her silence turns a tragic crime into a public mystery. Theo Faber, a criminal psychotherapist obsessed with understanding her, takes a job at the secure forensic unit where she resides. He is determined to get her to talk and unravel the mystery of that fateful night, leading to a shocking, mind-bending conclusion.","Psychological Thriller, Trauma, Deception, Truth, Obsession","suspenseful, twisty, dark, gripping, unsettling, chilling, fast-paced, addictive, mysterious"
The House in the Cerulean Sea,T.J. Klune,"Linus Baker is a by-the-book caseworker for the Department in Charge of Magical Youth. He lives a solitary, uneventful life until he is summoned by Extremely Upper Management and given a highly classified assignment. He must travel to a remote island orphanage housing six dangerously magical children—including a gnome, a sprite, and the Antichrist's son. There, he meets their enigmatic and charming caretaker, Arthur Parnassus. As Linus begins to understand the children and their world, he discovers that the family you choose is more important than the one you're given.","Found Family, Acceptance, Prejudice, Fantasy, Conformity","heartwarming, charming, whimsical, hopeful, comforting, funny, tender, cozy, uplifting"
Gone Girl,Gillian Flynn,"On the morning of their fifth wedding anniversary, Nick Dunne's wife, Amy, goes missing. Their home shows signs of a struggle, and Nick becomes the prime suspect. Told in alternating chapters from Nick's perspective in the present and Amy's diary from the past, the narrative skillfully manipulates the reader's perception. As the investigation unfolds, the perfect facade of their marriage crumbles to reveal a dark, twisted web of manipulation, lies, and revenge. It's a masterclass in suspense and unreliable narration.","Marriage, Deception, Media, Identity, Revenge","dark, twisty, suspenseful, cynical, disturbing, addictive, clever, shocking, tense"
Anxious People,Fredrik Backman,"A failed bank robber, who is also a parent trying to pay the rent, flees the scene and accidentally takes a group of strangers hostage during an apartment viewing in Sweden. The hostages are a quirky mix of characters: a wealthy banker, a pregnant couple, an elderly woman, and a man who specializes in buying and selling. As the police negotiate and the hours tick by, the story becomes less about a crime and more about the anxieties, regrets, and hidden connections that bind these ordinary people together. It's a funny, heartbreaking, and profoundly compassionate look at the idiocy and beauty of humanity.","Humanity, Kindness, Regret, Connection, Mental Health","witty, poignant, heartwarming, funny, sad, compassionate, philosophical, quirky, character-driven"
Dune,Frank Herbert,"Set on the desert planet Arrakis, the only source of the universe's most valuable substance, the spice melange. The story follows Paul Atreides, a young nobleman whose family accepts stewardship of this dangerous world, only to be betrayed by their enemies. Forced into the desert, Paul must unite with the native Fremen people and fulfill his destiny, navigating political intrigue, religious prophecy, and ecological warfare. It's an epic, sprawling masterpiece of world-building, exploring themes of power, religion, and ecology.","Politics, Religion, Ecology, Power, Destiny","epic, immersive, grand, philosophical, intense, gritty, complex, cerebral, awe-inspiring"
Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Eleanor Oliphant struggles with social skills and leads a life of simple routines: the same lunch, the same phone calls with her Mummy on Wednesdays, and the same solitary weekends. She is completely fine, or so she tells herself. Her carefully constructed, isolated world is disrupted when she and the new IT guy, Raymond, help an elderly man who has fallen on the street. This small act of kindness is the first step toward a new life, forcing Eleanor to confront the dark and traumatic truth of her past.","Loneliness, Trauma, Friendship, Mental Health, Healing","poignant, darkly funny, heartbreaking, hopeful, character-driven, emotional, quirky, uplifting"
Good Omens,Terry Pratchett and Neil Gaiman,"According to the Nice and Accurate Prophecies of Agnes Nutter, Witch, the world will end on a Saturday. Next Saturday, in fact, just before tea. But Aziraphale, an angel who runs a rare bookshop, and Crowley, a demon who's not altogether bad, have grown accustomed to their comfortable lives on Earth and are not particularly looking forward to the Apocalypse. So they team up to try and stop it, having misplaced the Antichrist (an 11-year-old boy named Adam) somewhere in the English countryside. A hilarious, apocalyptic comedy about the end of the world.","Good vs Evil, Prophecy, Friendship, Apocalypse, Humanity","witty, hilarious, clever, irreverent, quirky, satirical, fun, fast-paced, charming"
The Song of Achilles,Madeline Miller,"A sweeping and heartbreaking retelling of the Trojan War, as seen through the eyes of Patroclus, a young, awkward prince exiled to the court of King Peleus. There, he forms an unlikely bond with the king's son, the golden, godlike Achilles. Their deep friendship blossoms into a powerful, tender love. When Achilles is called to fight in the Trojan War, Patroclus follows, knowing that a prophecy foretells Achilles will die if he kills the Trojan hero, Hector. It's a devastatingly beautiful story of love, honor, and fate.","Mythology, Love, Fate, War, Glory","lyrical, tragic, romantic, epic, heart-wrenching, beautiful, emotional, sweeping, passionate"
Educated,Tara Westover,"Tara Westover was born into a radical, survivalist family in the mountains of Idaho. She had no birth certificate, never set foot in a classroom, and was treated by her bipolar father for injuries with herbalism. Her violent brother was a constant threat. Hungry for knowledge and a different life, she taught herself enough mathematics and grammar to be admitted to Brigham Young University. Her memoir is a searing, powerful account of her struggle to reconcile her love for her family with her desire for an education, and the immense cost of leaving home.","Memoir, Family, Education, Identity, Resilience","inspiring, harrowing, powerful, thought-provoking, emotional, intense, gripping, reflective"
The Martian,Andy Weir,"During a manned mission to Mars, astronaut Mark Watney is presumed dead and left behind by his crew during a fierce storm. Now, he is alone on a desolate planet with no way to signal Earth that he's alive, and only enough supplies to last a fraction of the time until the next mission arrives. Using his ingenuity, engineering skills, and dark sense of humor, he must figure out how to survive, grow food, and communicate with NASA, all while millions of miles from home. A thrilling and surprisingly funny story of survival against all odds.","Survival, Science, Problem-Solving, Isolation, Resilience","funny, suspenseful, clever, optimistic, thrilling, nerdy, fast-paced, engaging, scientific"
Where the Crawdads Sing,Delia Owens,"For years, rumors of the 'Marsh Girl' have haunted Barkley Cove, a quiet coastal town in North Carolina. Kya Clark is the abandoned daughter of a dysfunctional family, who has raised herself alone in the dangerous marshlands since childhood. When the town's golden boy, Chase Andrews, is found dead, the locals immediately suspect Kya. The story masterfully intertwines a coming-of-age narrative about Kya's fierce independence and a secret love affair with a murder investigation, exploring the raw power of nature and the profound effects of isolation.","Mystery, Nature, Isolation, Coming-of-Age, Prejudice","atmospheric, lyrical, suspenseful, poignant, immersive, beautiful, sad, compelling, mystery"
Murder on the Orient Express,Agatha Christie,"Just after midnight, the famous Orient Express is stopped dead in its tracks by a snowdrift in the middle of nowhere. By morning, an American tycoon lies dead in his compartment, stabbed a dozen times, his door locked from the inside. Luckily for the passengers, the legendary detective Hercule Poirot is also on board. With the killer still present, Poirot must sift through a train full of suspects with conflicting stories and motives to solve the seemingly impossible crime. A classic locked-room mystery.","Justice, Revenge, Morality, Detection, Class","clever, classic, puzzling, suspenseful, intriguing, fast-paced, atmospheric, intellectual"
The Night Circus,Erin Morgenstern,"The circus arrives without warning, simply appearing overnight, black and white and striped with no advertisements. Within its tents, an intense, decades-old magical competition is underway between two young illusionists, Celia and Marco, who have been trained since childhood for this purpose. Unbeknownst to them, they are pawns in a game played by their enigmatic mentors, and only one can survive. As their rivalry deepens into love, they begin to realize the stakes are far higher than they ever imagined. The prose is lush, dreamlike, and utterly enchanting.","Magic, Love, Rivalry, Fate, Artistry","enchanting, dreamy, romantic, atmospheric, lyrical, magical, immersive, whimsical, lush"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Aging and reclusive Hollywood icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. She chooses unknown magazine reporter Monique Grant for the job, a choice no one can understand. As Evelyn unfolds her story, from escaping Cuba in the 1950s to becoming a superstar and navigating seven marriages, she reveals a shocking, decades-spanning love affair and the immense personal cost of fame. It's a gripping tale of ambition, sacrifice, and the search for true love.","Hollywood, Ambition, Love, Identity, Sacrifice","glamorous, addictive, emotional, scandalous, heartbreaking, captivating, romantic, fast-paced"
Jonathan Strange & Mr Norrell,Susanna Clarke,"Set in an alternate 19th-century England, where magic was once common but has long since faded. Two very different magicians emerge: the reclusive, scholarly Mr. Norrell, who is determined to bring magic back, and the dashing, charismatic Jonathan Strange. Their partnership, born of a common goal, soon turns into a bitter rivalry. Their battle for supremacy draws them into the Napoleonic Wars, the treacherous world of faeries, and the dark secrets of English magic. A dense, witty, and immersive masterpiece of historical fantasy.","Magic, Rivalry, History, Faeries, Knowledge","intricate, witty, dark, immersive, epic, dense, atmospheric, clever, academic"
Flowers for Algernon,Daniel Keyes,"Charlie Gordon, a man with an intellectual disability, is chosen for an experimental surgical procedure that promises to dramatically increase his intelligence. The story is told through Charlie's own"," which start as childlike, misspelled accounts of his day. As his IQ triples, he becomes a genius, surpassing his doctors and falling in love. But he also gains painful memories of his past and the cruel treatment he endured. He watches as his new intelligence, and the mouse named Algernon who preceded him, begins to fade. A profound and heartbreaking exploration of intelligence, humanity, and the soul.","Intelligence, Humanity, Ethics, Loneliness, Science",heartbreaking, thought-provoking, poignant, tragic, emotional, philosophical, character-driven, sad
"Red, White & Royal Blue",Casey McQuiston,"Alex Claremont-Diaz, the son of the first female President of the United States, has a public rivalry with Prince Henry of Wales. After a disastrous altercation at a royal wedding, the two are forced to stage a", however, soon ignites into something much deeper. The novel is a hilarious, steamy, and deeply romantic love story that tackles politics, identity, and the struggle for a happy ending in the public eye.,LGBTQ+, Romance, Politics, Identity, Family,romantic, funny, steamy, heartwarming, hopeful, charming, witty, feel-good, fast-paced
The Ocean at the End of the Lane,Neil Gaiman,"A man returns to his childhood home for a funeral and is drawn to the farm at the end of the lane, where his friend Lettie Hempstock lived. Sitting by the pond she called an ocean, he begins to remember a terrifying, magical period from his childhood. When a sinister, otherworldly menace invades his reality, it is Lettie and her remarkable family—women who have lived for millennia and possess immense power—who protect him. It's a haunting, beautiful novella about memory, childhood fears, and the vast power hidden in small, ordinary things.","Memory, Childhood, Magic, Fear, Sacrifice","haunting, lyrical, nostalgic, dark, emotional, magical, dreamlike, bittersweet, beautiful"
1984,George Orwell,"In a totalitarian future, the Party rules society with an iron fist, controlling every aspect of life, including history, language, and even thought. Winston Smith, a low-ranking member of the Outer Party, dares to rebel by starting a secret diary and beginning an illicit love affair with Julia. Their quest for freedom and truth puts them on a collision course with the omnipresent Big Brother and the ruthless Inner Party, leading to a terrifying confrontation with the nature of power and control.","Totalitarianism, Surveillance, Control, Truth, Rebellion","dark, disturbing, thought-provoking, bleak, dystopian, chilling, classic, political, intense"
Pride and Prejudice,Jane Austen,"In the early 19th-century English countryside, the Bennet family is abuzz with the news that a wealthy young bachelor, Mr. Bingley, has arrived in the neighborhood. The witty and intelligent Elizabeth Bennet forms a sharp dislike for his friend, the proud and aristocratic Mr. Darcy. What follows is a classic comedy of manners, as Elizabeth and Darcy navigate their own stubborn prejudices, the scheming of their families, and the rigid social hierarchies of their time, slowly moving toward understanding and love.","Class, Marriage, Love, Reputation, Society","witty, romantic, charming, classic, sharp, humorous, character-driven, elegant, timeless"
The Hobbit,J.R.R. Tolkien,"Bilbo Baggins is a respectable, comfort-loving hobbit who wants nothing more than a quiet life in his hobbit-hole. His peace is shattered when the wizard Gandalf and a company of thirteen dwarves arrive on his doorstep, whisking him away on an epic quest to reclaim their treasure from the fearsome dragon, Smaug. Reluctantly, Bilbo finds himself in the midst of adventures far beyond his imagining, discovering a courage and cunning he never knew he possessed. A classic tale of adventure and heroism.","Adventure, Heroism, Greed, Home, Friendship","adventurous, classic, whimsical, epic, charming, heartwarming, fun, exciting, timeless"
To Kill a Mockingbird,Harper Lee,"Scout Finch lives with her brother Jem and their widowed father, Atticus, in the sleepy, tired town of Maycomb, Alabama, during the Great Depression. When Atticus, a principled lawyer, agrees to defend a black man falsely accused of raping a white woman, the family becomes the target of the town's prejudice and anger. Told with warmth and humor from Scout's innocent perspective, the novel explores profound themes of racial injustice, moral courage, and the loss of innocence.","Racism, Justice, Morality, Childhood, Courage","moving, thought-provoking, powerful, poignant, classic, heartbreaking, hopeful, warm"
The Handmaid's Tale,Margaret Atwood,"In the dystopian Republic of Gilead, a theocratic regime has stripped women of their rights. Offred is a Handmaid, one of the few remaining fertile women, forced to bear children for the ruling class. Her life is one of strict subjugation, with her only value lying in her body. The novel is her story, a testament of survival, memory, and the desperate yearning for freedom in a world that has erased her identity. It's a chilling and powerful work of speculative fiction.","Feminism, Dystopia, Power, Control, Identity","chilling, powerful, thought-provoking, disturbing, bleak, emotional, gripping, intense"
American Gods,Neil Gaiman,"Shadow Moon is released from prison only to discover his wife has been killed in a mysterious accident. Adrift and unemployed, he accepts a job offer from the enigmatic Mr. Wednesday, a man who knows more about Shadow than he lets on. As they travel across America, Shadow is drawn into a brewing, epic conflict between the old gods, who came to America with immigrants long ago and are now fading, and the new gods of technology, media, and modern life. A surreal and sprawling road trip through the heart of America.","Mythology, Identity, Belief, America, Modernity","surreal, epic, dark, thought-provoking, gritty, imaginative, sprawling, mythological, philosophical"
The Road,Cormac McCarthy,"In a post-apocalyptic world, shrouded by ash and devoid of life, a father and his young son travel alone toward the coast. They push a shopping cart containing their meager possessions, constantly fleeing from the cold and from the gangs of cannibals that roam the land. The man is devoted to protecting his son, whom he believes is the 'fire' that must be carried. It's a stark, harrowing, and devastatingly beautiful story about the depths of human cruelty and the enduring power of a parent's love.","Survival, Love, Humanity, Hope, Despair","bleak, harrowing, heartbreaking, powerful, stark, emotional, atmospheric, tense, devastating"
