title,author,summary,themes,mood_tags,pacing,tone,setting
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reclusive Hollywood icon Evelyn Hugo finally decides to tell her life story to an unknown journalist, Monique Grant. As Evelyn recounts her rise to fame, her seven marriages, and her forbidden love, Monique realizes their lives are intertwined in unexpected ways. This is a glamorous, emotional, and secretive tale about ambition, identity, and the price of greatness in the golden age of cinema.","fame, love, identity, ambition, secrets, LGBTQ+","glamorous, emotional, secretive, engaging, dramatic, captivating",moderate,"lush, confessional, sweeping",Hollywood
Verity,Colleen Hoover,"Lowen Ashleigh, a struggling writer, is hired to finish the remaining books in a successful series by the injured author Verity Crawford. While organizing Verity's office, Lowen discovers a disturbing autobiography that reveals dark secrets about the author's family and marriage. As Lowen falls for Verity's husband, she must decide whether to publish the truth or protect the lie. It is tense, disturbing, and utterly addictive.","obsession, truth, manipulation, marriage, secrets, morality","tense, disturbing, addictive, suspenseful, dark, shocking",fast,"psychological, twisted, gripping",Secluded Mansion
It Ends with Us,Colleen Hoover,"Lily Bloom moves to Boston to start a new life and falls for neurosurgeon Ryle Kincaid. However, as their relationship deepens, patterns from her past begin to emerge, forcing her to confront the cycle of abuse she witnessed in her own family. When her first love returns, Lily must make an impossible choice. This is an emotional, heavy, and heartfelt story about breaking cycles and finding the courage to leave.","love, abuse, courage, cycles, trauma, strength","emotional, heavy, heartfelt, heartbreaking, honest, intense",moderate,"moving, painful, empowering",Boston
The House in the Cerulean Sea,TJ Klune,"Linus Baker, a rigid caseworker for the Department in Charge of Magical Youth, is sent to investigate an orphanage on a remote island. There, he meets six dangerous magical children and their caretaker, Arthur Parnassus. As Linus witnesses the love and acceptance in the house, his worldview shifts, and he discovers the true meaning of family. It is a cozy, heartwarming, and whimsical hug of a book about belonging and kindness.","acceptance, family, magic, love, bureaucracy, chosen-family","cozy, heartwarming, whimsical, sweet, comforting, joyful",slow,"warm, gentle, uplifting",Magical Island
Anxious People,Fredrik Backman,"A failed bank robber accidentally takes a group of strangers hostage during an apartment viewing. As the police surround the building, the hostages reveal their own struggles, fears, and secrets, turning a crime thriller into a profound exploration of human connection. With humor and heart, Backman shows how anxiety binds us all and how forgiveness can set us free. It is funny, touching, and deeply hopeful.","humanity, connection, forgiveness, anxiety, community, redemption","funny, touching, hopeful, kind, emotional, wise",moderate,"humorous, compassionate, insightful",Swedish Apartment
A Man Called Ove,Fredrik Backman,"Ove is a grumpy old man who strictly follows rules and plans to end his life after losing his job. However, his plans are repeatedly interrupted by his boisterous new neighbors, who slowly chip away at his hardened exterior. Through flashbacks, we learn of Ove's tragic past and the love that shaped him. This is an uplifting, funny, and touching story about how community can heal even the deepest grief.","community, grief, love, grumpiness, neighborliness, purpose","uplifting, funny, touching, heartwarming, emotional, charming",moderate,"heartfelt, humorous, poignant",Swedish Suburb
The Night Circus,Erin Morgenstern,"Two young magicians, Celia and Marco, are bound by their mentors to compete in a magical duel within a mysterious circus that opens only at night. As the competition intensifies, they fall deeply in love, unaware that the game can only end when one is left standing. Set in a dreamlike world of black-and-white tents and impossible feats, this is an atmospheric, romantic, and whimsical tale of magic and sacrifice.","magic, love, competition, destiny, dreams, sacrifice","atmospheric, dreamy, romantic, whimsical, mysterious, enchanting",slow,"magical, lyrical, immersive",Traveling Circus
Life of Pi,Yann Martel,"After a shipwreck, young Pi Patel finds himself stranded on a lifeboat in the Pacific Ocean with a Bengal tiger named Richard Parker. For 227 days, he must use his ingenuity, faith, and will to survive alongside the predator. This is a thought-provoking, adventurous, and spiritual story about the nature of reality, the power of storytelling, and the instinct to live.","survival, faith, storytelling, religion, nature, resilience","thought-provoking, adventurous, spiritual, imaginative, philosophical",moderate,"wonder-filled, allegorical, deep",Pacific Ocean
The Kite Runner,Khaled Hosseini,"Amir, a wealthy boy from Kabul, betrays his loyal friend Hassan, an act that haunts him for decades. Years later, living in America, Amir receives a chance to redeem himself by returning to Taliban-controlled Afghanistan to rescue Hassan's son. This is a heavy, emotional, and powerful story about guilt, redemption, and the enduring bonds of friendship and fatherhood.","redemption, guilt, friendship, betrayal, father-son, war","heavy, emotional, powerful, tragic, honest, moving",moderate,"heartbreaking, intense, redemptive","Afghanistan, USA"
Never Let Me Go,Kazuo Ishiguro,"Kathy, Ruth, and Tommy grow up in a seemingly idyllic boarding school in the English countryside. As they mature, they slowly realize the dark purpose of their existence and the grim fate that awaits them. Told with quiet restraint, this is a melancholic, haunting, and dystopian masterpiece about mortality, love, and what it means to be human.","identity, mortality, love, cloning, fate, acceptance","melancholic, quiet, dystopian, haunting, resigned, poignant",slow,"subtle, heartbreaking, atmospheric",English Boarding School
Station Eleven,Emily St. John Mandel,"Years after a flu pandemic wipes out most of humanity, a traveling symphony performs music and Shakespeare in the settlements of the Great Lakes region. Interweaving the stories of survivors before and after the collapse, this novel explores the importance of art, memory, and human connection in the face of extinction. It is hopeful, atmospheric, and beautifully written, proving that survival is insufficient.","art, survival, memory, civilization, connection, hope","hopeful, atmospheric, reflective, poetic, resilient, lyrical",moderate,"beautiful, contemplative, uplifting",Post-Apocalyptic
The Road,Cormac McCarthy,"A father and his young son walk alone through a burned, ash-covered America, pushing a cart of scavenged supplies. They face starvation, cannibals, and the cold, holding onto their morality and love for each other in a world devoid of hope. This is a dark, bleak, and intensely moving story about the endurance of love and the struggle to remain 'good guys' in a hopeless world.","survival, love, despair, fatherhood, morality, apocalypse","dark, bleak, intense, grim, loving, harrowing",moderate,"desolate, powerful, emotional",Post-Apocalyptic USA
Big Little Lies,Liane Moriarty,"Three women in a picturesque Australian beach town find their lives unraveling to the point of murder following a school trivia night. As the investigation unfolds, secrets about domestic violence, bullying, and infidelity are exposed beneath the surface of their perfect lives. It is a tense, funny, and dramatic page-turner that balances serious themes with sharp wit.","secrets, motherhood, lies, domestic-violence, friendship, scandal","tense, funny, dramatic, satirical, suspenseful, juicy",moderate,"engaging, sharp, entertaining",Australian Coast
The Guest List,Lucy Foley,"On a remote island off the coast of Ireland, a glamorous wedding turns into a nightmare when a guest is found murdered. Told from multiple perspectives, including the bride, the groom, and the killer, secrets of revenge, jealousy, and past traumas surface. This is a tense, mysterious, and twisty whodunit that keeps you guessing until the very last page.","revenge, secrets, marriage, jealousy, murder, isolation","tense, mysterious, twisty, suspenseful, cold, addictive",fast,"atmospheric, shocking, clever",Irish Island
Mexican Gothic,Silvia Moreno-Garcia,"Noemí Taboada travels to High Place, a decaying English manor in the Mexican countryside, to check on her cousin who claims her husband is trying to kill her. There, she encounters a sinister family with dark secrets, strange fungi, and a haunting presence. Blending gothic horror with historical fiction, this is an eerie, atmospheric, and unsettling tale of colonialism and madness.","horror, family, decay, colonialism, madness, ghosts","eerie, atmospheric, unsettling, creepy, gothic, suspenseful",moderate,"haunting, rich, disturbing",1950s Mexico
Frankenstein,Mary Shelley,"Victor Frankenstein, a brilliant but obsessed scientist, succeeds in creating life from dead body parts. Horrified by his monstrous creation, he abandons it, leading the creature on a lonely journey of rejection and vengeance. This foundational sci-fi novel is a dark, tragic, and philosophical exploration of ambition, responsibility, and the dangers of playing God.","ambition, nature, monstrosity, isolation, responsibility, revenge","dark, tragic, philosophical, gothic, somber, intellectual",moderate,"melancholic, profound, classic","Europe, Arctic"
Dracula,Bram Stoker,"Count Dracula moves from Transylvania to England to spread the undead curse, targeting a young lawyer and his fiancée. A small group of heroes, led by Professor Van Helsing, must track the Count across Europe to stop him. Told through letters and diary entries, this classic is tense, scary, and suspenseful, defining the vampire genre forever.","evil, innocence, victory, sexuality, religion, horror","tense, classic, scary, suspenseful, epistolary, gothic",moderate,"atmospheric, frightening, adventurous","England, Transylvania"
The Shining,Stephen King,"Jack Torrance takes a job as the winter caretaker of the isolated Overlook Hotel, bringing his wife and psychic son. As the snow traps them inside, the hotel's evil spirits begin to influence Jack, driving him into madness and violence against his family. This is a terrifying, intense, and psychological horror masterpiece about addiction, isolation, and inherited trauma.","isolation, madness, horror, addiction, family, supernatural","terrifying, intense, psychological, claustrophobic, scary, slow-burn",moderate,"nightmarish, suspenseful, iconic",Colorado Hotel
Murder on the Orient Express,Agatha Christie,"Detective Hercule Poirot is traveling on the famous train when it gets stuck in a snowdrift. When a passenger is found murdered in his locked compartment, Poirot must interview the eclectic mix of passengers to find the killer. This is a clever, satisfying, and classic mystery with one of the most famous twists in literature.","justice, guilt, mystery, revenge, logic, deduction","clever, satisfying, classic, intriguing, logical, cozy",fast,"intellectual, puzzling, elegant",Train
And Then There Were None,Agatha Christie,"Ten strangers are invited to a private island under false pretenses. One by one, they are killed according to a nursery rhyme, and paranoia sets in as they realize the killer is among them. With no escape and no help coming, they must figure out who it is before they are all dead. This is a tense, shocking, and perfectly plotted thriller.","guilt, justice, paranoia, murder, isolation, fear","tense, classic, shocking, suspenseful, eerie, relentless",fast,"chilling, masterful, gripping",Private Island
The Da Vinci Code,Dan Brown,"Symbologist Robert Langdon is called to solve a murder in the Louvre, which leads him on a frantic chase across Europe. He uncovers a religious mystery hidden in the works of Leonardo da Vinci and a secret society protecting a shocking truth about Jesus Christ. It is an exciting, puzzle-like, and fast-paced adventure that blends art, history, and conspiracy.","religion, secrets, history, conspiracy, art, puzzles","exciting, puzzle-like, fast, thrilling, controversial, action-packed",very fast,"page-turning, cinematic, intriguing",Europe
Angels & Demons,Dan Brown,"When a physicist is murdered and a canister of antimatter is stolen, Robert Langdon is rushed to the Vatican to stop a secret society from destroying the city. Racing against the clock, he follows a trail of clues through Rome's historic landmarks. This is an urgent, action-packed, and thrilling prequel to The Da Vinci Code, full of science and religious conflict.","science, religion, conspiracy, urgency, history, good-vs-evil","exciting, urgent, action-packed, thrilling, dramatic, fast",very fast,"high-stakes, cinematic, explosive","Vatican, Geneva"
The Handmaid's Tale,Margaret Atwood,"In the Republic of Gilead, a theocratic dictatorship has replaced the United States. Women are stripped of their rights, and fertile women like Offred are forced into sexual slavery as 'Handmaids.' Through Offred's eyes, we see the horrors of oppression and her quiet resistance. This is a dark, disturbing, and powerful warning about the fragility of women's rights.","oppression, gender, resistance, totalitarianism, fertility, freedom","dark, disturbing, powerful, urgent, dystopian, feminist",moderate,"bleak, intense, prophetic",Gilead
Brave New World,Aldous Huxley,"In a future society engineered for stability and happiness, people are genetically modified and conditioned to consume and obey. When a 'savage' from a reservation is brought to this civilized world, his presence challenges the very foundation of their drug-induced utopia. This is a thought-provoking, cynical, and classic satire on conformity, technology, and the cost of happiness.","conformity, happiness, control, technology, individuality, society","thought-provoking, cynical, classic, satirical, cold, intellectual",moderate,"philosophical, disturbing, visionary",Future London
Fahrenheit 451,Ray Bradbury,"Guy Montag is a fireman whose job is to burn books in a society where reading is forbidden. After meeting a free-spirited neighbor, he begins to question his role and hides books, becoming a fugitive. This is a thought-provoking, urgent, and poetic classic about censorship, the importance of knowledge, and the danger of passive entertainment.","censorship, knowledge, rebellion, books, conformity, freedom","thought-provoking, urgent, classic, poetic, dystopian, reflective",fast,"passionate, warning, lyrical",Future USA
The Catcher in the Rye,J.D. Salinger,"Holden Caulfield, a cynical and alienated teenager, wanders around New York City for a few days after being expelled from prep school. He encounters phoniness everywhere and struggles with grief, loneliness, and the fear of growing up. This is a melancholic, relatable, and iconic coming-of-age story told in a unique, confessional voice.","alienation, innocence, growth, grief, phoniness, adolescence","melancholic, cynical, relatable, angsty, confessional, raw",moderate,"intimate, rebellious, poignant",New York City
Lord of the Flies,William Golding,"A group of British boys stranded on an uninhabited island attempt to govern themselves, but their society quickly collapses into savagery. Led by the charismatic but violent Jack, they hunt and kill, losing their innocence and humanity. This is a dark, intense, and symbolic allegory about the inherent evil in mankind and the thin veneer of civilization.","civilization, evil, survival, power, innocence, mob-mentality","dark, intense, symbolic, grim, allegorical, disturbing",moderate,"philosophical, harrowing, classic",Tropical Island
Animal Farm,George Orwell,"Farm animals overthrow their human owner to create a society of equality, but the pigs soon seize power and become tyrants themselves. Led by Napoleon, the farm descends into a dictatorship where 'all animals are equal, but some are more equal than others.' This is a satirical, dark, and simple allegory for the Russian Revolution and the corruption of power.","power, corruption, politics, revolution, equality, tyranny","satirical, dark, simple, cynical, allegorical, sharp",fast,"biting, ironic, timeless",Farm
Jane Eyre,Charlotte Brontë,"Orphaned Jane Eyre grows up to become a governess at Thornfield Hall, where she falls in love with her brooding employer, Mr. Rochester. But a dark secret hidden in the attic threatens their happiness. Jane must choose between her passion and her moral principles in this gothic, romantic, and empowering story of a woman demanding independence.","love, independence, morality, class, secrets, feminism","romantic, gothic, strong, passionate, moral, intense",moderate,"emotional, principled, atmospheric",English Manor
Wuthering Heights,Emily Brontë,"The intense and destructive love between Heathcliff, an orphan, and Catherine Earnshaw spans two generations on the Yorkshire moors. Fueled by revenge and passion, their love destroys everyone around them. This is a wild, tragic, and atmospheric gothic romance that explores the darkest corners of the human heart.","love, revenge, nature, passion, obsession, destruction","intense, tragic, wild, passionate, dark, stormy",moderate,"brooding, elemental, haunting",Yorkshire Moors
Emma,Jane Austen,"Emma Woodhouse, a handsome and wealthy young woman, delights in meddling in the love lives of her friends and neighbors. However, her matchmaking schemes often go awry, leading to misunderstandings and heartbreak. Through her mistakes, Emma learns humility and eventually finds love herself. It is a witty, lighthearted, and charming comedy of manners.","matchmaking, growth, class, love, self-deception, community","witty, lighthearted, romantic, humorous, charming, clever",moderate,"fun, sunny, delightful",English Village
Sense and Sensibility,Jane Austen,"The Dashwood sisters, Elinor (sense) and Marianne (sensibility), navigate love and heartbreak after their father's death leaves them poor. Elinor hides her feelings to protect others, while Marianne indulges in dramatic emotion. Both must find a balance between head and heart to find happiness. It is a gentle, sensible, and romantic classic.","love, reason, emotion, family, heartbreak, balance","romantic, balanced, classic, gentle, emotional, wise",moderate,"refined, touching, prudent",English Countryside
Mansfield Park,Jane Austen,"Fanny Price, a poor niece, is raised by her wealthy aunt and uncle at Mansfield Park. Often overlooked and treated poorly, she remains the moral center of the family as her cousins indulge in reckless behavior and a theatrical production. Fanny must stand firm in her principles against pressure and temptation. It is a serious, reflective, and principled romance.","morality, status, love, integrity, family, silence","serious, reflective, romantic, quiet, principled, steady",slow,"contemplative, moral, understated",English Estate
Northanger Abbey,Jane Austen,"Catherine Morland, a naive girl obsessed with gothic novels, visits Bath and later Northanger Abbey. Her vivid imagination leads her to suspect dark secrets and murders that don't exist, causing embarrassment and confusion. Eventually, she learns to distinguish fiction from reality and finds true love. It is a witty, fun, and satirical parody of gothic tropes.","imagination, love, satire, naivety, reality, growth","witty, fun, romantic, playful, satirical, lighthearted",moderate,"cheerful, ironic, sweet","Bath, Abbey"
Persuasion,Jane Austen,"Anne Elliot was persuaded to reject Captain Wentworth years ago due to his lack of wealth. Now, he returns rich and successful, and Anne must navigate her lingering feelings and family interference to seize a second chance at love. It is a mature, melancholic, and deeply romantic story about regret, constancy, and the endurance of love.","love, regret, second-chances, constancy, class, navy","melancholic, mature, romantic, reflective, hopeful, tender",moderate,"bittersweet, sincere, beautiful","England, Navy"
The Count of Monte Cristo,Alexandre Dumas,"Edmond Dantès is falsely imprisoned for treason on his wedding day. After escaping and discovering a hidden treasure, he reinvents himself as the Count of Monte Cristo and spends years meticulously orchestrating revenge on those who betrayed him. This is an epic, satisfying, and dramatic tale of justice, patience, and the corrupting nature of vengeance.","revenge, justice, patience, betrayal, wealth, transformation","epic, satisfying, long, dramatic, vengeful, adventurous",slow,"grand, intricate, thrilling","France, Italy"
Les Misérables,Victor Hugo,"Jean Valjean, an ex-convict, seeks redemption while being relentlessly pursued by the obsessive Inspector Javert. Set against the backdrop of post-Napoleonic France and the June Rebellion, the story weaves together the lives of the poor, the lovers, and the revolutionaries. It is an epic, emotional, and heavy masterpiece about grace, justice, and the human capacity for love.","redemption, justice, love, revolution, poverty, grace","epic, emotional, heavy, grand, compassionate, sweeping",slow,"majestic, heartbreaking, profound",France
