expense_id,trip_id,asset_id,expense_date,expense_category,expense_type,description,amount_usd,country,city,payment_method,vendor_name,receipt_number,reimbursement_status,approved_by
EXP-00030,TRP-0019,AST-101,2024-10-29,Fuel,Operational,Diesel fuel for Addis Ababa-Addis Ababa trip,20.44,Ethiopia,Addis Ababa,Cash,Shell Ethiopia,RCT-19504,Approved,Operations Manager
EXP-00031,TRP-0020,AST-106,2024-05-31,Fuel,Operational,Diesel fuel for Kampala-Jinja trip,166.94,Uganda,Kampala,Cash,Shell Uganda,RCT-82489,Approved,Finance Manager
EXP-00032,TRP-0021,AST-109,2024-09-28,Fuel,Operational,Diesel fuel for Kisumu-Eldoret trip,119.43,Kenya,Kisumu,Company Card,Kobil Kenya,RCT-26351,Approved,Operations Manager
EXP-00033,TRP-0022,AST-110,2024-02-04,Fuel,Operational,Diesel fuel for Entebbe-Jinja trip,100.41,Uganda,Entebbe,Cash,Shell Uganda,RCT-88653,Approved,Finance Manager
EXP-00034,TRP-0022,AST-110,2024-02-04,Tolls,Operational,Highway toll charges,20.53,Uganda,Entebbe,Cash,Highway Authority,TOLL-4591,Approved,Finance Manager
EXP-00035,TRP-0023,AST-115,2025-02-28,Fuel,Operational,Diesel fuel for Mbeya-Mbeya trip,28.25,Tanzania,Mbeya,Company Card,Shell Tanzania,RCT-29405,Approved,Operations Manager
EXP-00036,TRP-0024,AST-045,2024-04-14,Fuel,Operational,Diesel fuel for Addis Ababa-Bahir Dar trip,120.44,Ethiopia,Addis Ababa,Cash,Kobil Ethiopia,RCT-75167,Approved,Finance Manager
EXP-00037,TRP-0025,AST-056,2024-09-05,Fuel,Operational,Diesel fuel for Mbarara-Gondar trip,364.31,Uganda,Mbarara,Company Card,Total Uganda,RCT-97196,Approved,Operations Manager
EXP-00038,TRP-0025,AST-056,2024-09-05,Border Fees,Operational,Uganda-Ethiopia border crossing fees,75.49,Ethiopia,Border Crossing,Cash,Ethiopia Revenue Authority,BRD-7116,Approved,Operations Manager
EXP-00039,TRP-0026,AST-049,2024-03-30,Fuel,Operational,Diesel fuel for Nairobi-Kisumu trip,96.6,Kenya,Nairobi,Company Card,Kobil Kenya,RCT-37546,Approved,Finance Manager
EXP-00040,TRP-0026,AST-049,2024-03-30,Tolls,Operational,Highway toll charges,6.29,Kenya,Nairobi,Cash,Highway Authority,TOLL-5670,Approved,Finance Manager
EXP-00041,TRP-0027,AST-061,2024-07-26,Fuel,Operational,Diesel fuel for Ruhengeri-Dar es Salaam trip,164.9,Rwanda,Ruhengeri,Company Card,Puma Energy Rwanda,RCT-98142,Approved,Finance Manager
EXP-00042,TRP-0027,AST-061,2024-07-26,Border Fees,Operational,Rwanda-Tanzania border crossing fees,37.63,Tanzania,Border Crossing,Cash,Tanzania Revenue Authority,BRD-4502,Approved,Operations Manager
EXP-00043,TRP-0028,AST-109,2024-04-22,Fuel,Operational,Diesel fuel for Kisumu-Mombasa trip,50.13,Kenya,Kisumu,Cash,Puma Energy Kenya,RCT-39157,Approved,Finance Manager
EXP-00044,TRP-0029,AST-041,2024-12-07,Fuel,Operational,Diesel fuel for Nakuru-Kisumu trip,217.02,Kenya,Nakuru,Company Card,Puma Energy Kenya,RCT-68767,Approved,Operations Manager
EXP-00045,TRP-0030,AST-051,2025-01-08,Fuel,Operational,Diesel fuel for Eldoret-Mombasa trip,65.78,Kenya,Eldoret,Cash,Shell Kenya,RCT-18066,Approved,Operations Manager
EXP-00046,TRP-0031,AST-075,2024-03-11,Fuel,Operational,Diesel fuel for Nakuru-Nakuru trip,33.33,Kenya,Nakuru,Cash,Kobil Kenya,RCT-17388,Approved,Operations Manager
EXP-00047,TRP-0032,AST-115,2024-08-01,Fuel,Operational,Diesel fuel for Mwanza-Arusha trip,193.37,Tanzania,Mwanza,Company Card,Shell Tanzania,RCT-79484,Approved,Finance Manager
EXP-00048,TRP-0032,AST-115,2024-08-01,Tolls,Operational,Highway toll charges,13.26,Tanzania,Mwanza,Cash,Highway Authority,TOLL-9787,Approved,Finance Manager
EXP-00049,TRP-0033,AST-007,2024-05-12,Fuel,Operational,Diesel fuel for Mwanza-Mwanza trip,25.81,Tanzania,Mwanza,Cash,Kobil Tanzania,RCT-36379,Approved,Finance Manager
EXP-00050,TRP-0034,AST-104,2025-01-20,Fuel,Operational,Diesel fuel for Arusha-Gisenyi trip,177.78,Tanzania,Arusha,Cash,Total Tanzania,RCT-67925,Approved,Operations Manager
EXP-00051,TRP-0034,AST-104,2025-01-20,Border Fees,Operational,Tanzania-Rwanda border crossing fees,49.5,Rwanda,Border Crossing,Cash,Rwanda Revenue Authority,BRD-1629,Approved,Operations Manager
EXP-00052,TRP-0035,AST-015,2025-02-11,Fuel,Operational,Diesel fuel for Mbarara-Nakuru trip,295.33,Uganda,Mbarara,Cash,Puma Energy Uganda,RCT-59707,Approved,Finance Manager
EXP-00053,TRP-0035,AST-015,2025-02-11,Border Fees,Operational,Uganda-Kenya border crossing fees,49.13,Kenya,Border Crossing,Cash,Kenya Revenue Authority,BRD-9057,Approved,Operations Manager
EXP-00054,TRP-0036,AST-019,2025-02-21,Fuel,Operational,Diesel fuel for Mombasa-Kisumu trip,74.7,Kenya,Mombasa,Cash,Puma Energy Kenya,RCT-16413,Approved,Finance Manager
EXP-00055,TRP-0036,AST-019,2025-02-21,Tolls,Operational,Highway toll charges,22.05,Kenya,Mombasa,Cash,Highway Authority,TOLL-8797,Approved,Finance Manager
EXP-00056,TRP-0037,AST-114,2024-02-03,Fuel,Operational,Diesel fuel for Kampala-Mbeya trip,168.07,Uganda,Kampala,Cash,Shell Uganda,RCT-27489,Approved,Operations Manager
EXP-00057,TRP-0038,AST-042,2025-01-25,Fuel,Operational,Diesel fuel for Mwanza-Mbarara trip,192.22,Tanzania,Mwanza,Company Card,Kobil Tanzania,RCT-93866,Approved,Operations Manager
EXP-00058,TRP-0038,AST-042,2025-01-25,Border Fees,Operational,Tanzania-Uganda border crossing fees,50.29,Uganda,Border Crossing,Cash,Uganda Revenue Authority,BRD-2257,Approved,Operations Manager
EXP-00059,TRP-0039,AST-077,2024-08-26,Fuel,Operational,Diesel fuel for Dodoma-Cyangugu trip,258.22,Tanzania,Dodoma,Company Card,Shell Tanzania,RCT-10418,Approved,Operations Manager
EXP-00060,TRP-0039,AST-077,2024-08-26,Border Fees,Operational,Tanzania-Rwanda border crossing fees,49.84,Rwanda,Border Crossing,Cash,Rwanda Revenue Authority,BRD-9910,Approved,Operations Manager
EXP-00061,TRP-0040,AST-053,2025-02-14,Fuel,Operational,Diesel fuel for Mekele-Gondar trip,82.12,Ethiopia,Mekele,Cash,Total Ethiopia,RCT-61868,Approved,Operations Manager
EXP-00062,TRP-0041,AST-113,2024-04-12,Fuel,Operational,Diesel fuel for Ruhengeri-Ruhengeri trip,26.93,Rwanda,Ruhengeri,Company Card,Total Rwanda,RCT-32471,Approved,Operations Manager
EXP-00063,TRP-0041,AST-113,2024-04-12,Tolls,Operational,Highway toll charges,14.46,Rwanda,Ruhengeri,Cash,Highway Authority,TOLL-2735,Approved,Finance Manager
EXP-00064,TRP-0042,AST-076,2024-03-09,Fuel,Operational,Diesel fuel for Nairobi-Addis Ababa trip,264.33,Kenya,Nairobi,Company Card,Puma Energy Kenya,RCT-20630,Approved,Finance Manager
EXP-00065,TRP-0042,AST-076,2024-03-09,Border Fees,Operational,Kenya-Ethiopia border crossing fees,54.63,Ethiopia,Border Crossing,Cash,Ethiopia Revenue Authority,BRD-8087,Approved,Operations Manager
EXP-00066,TRP-0043,AST-084,2024-09-15,Fuel,Operational,Diesel fuel for Mbeya-Dar es Salaam trip,135.2,Tanzania,Mbeya,Company Card,Kobil Tanzania,RCT-22604,Approved,Finance Manager
EXP-00067,TRP-0044,AST-094,2025-01-01,Fuel,Operational,Diesel fuel for Dar es Salaam-Dodoma trip,147.03,Tanzania,Dar es Salaam,Company Card,Puma Energy Tanzania,RCT-70153,Approved,Finance Manager
EXP-00068,TRP-0045,AST-090,2024-07-06,Fuel,Operational,Diesel fuel for Cyangugu-Gisenyi trip,149.23,Rwanda,Cyangugu,Company Card,Total Rwanda,RCT-44039,Approved,Operations Manager
EXP-00069,TRP-0045,AST-090,2024-07-06,Tolls,Operational,Highway toll charges,13.19,Rwanda,Cyangugu,Cash,Highway Authority,TOLL-6890,Approved,Finance Manager
EXP-00070,TRP-0046,AST-037,2024-01-11,Fuel,Operational,Diesel fuel for Nakuru-Nakuru trip,11.76,Kenya,Nakuru,Cash,Total Kenya,RCT-61749,Approved,Operations Manager
EXP-00071,TRP-0047,AST-082,2025-01-26,Fuel,Operational,Diesel fuel for Kisumu-Nakuru trip,109.1,Kenya,Kisumu,Cash,Puma Energy Kenya,RCT-51674,Approved,Finance Manager
EXP-00072,TRP-0048,AST-066,2024-05-19,Fuel,Operational,Diesel fuel for Mbeya-Mwanza trip,171.98,Tanzania,Mbeya,Cash,Kobil Tanzania,RCT-18942,Approved,Operations Manager
EXP-00073,TRP-0049,AST-112,2024-09-21,Fuel,Operational,Diesel fuel for Mwanza-Dodoma trip,106.08,Tanzania,Mwanza,Company Card,Kobil Tanzania,RCT-87901,Approved,Finance Manager
EXP-00074,TRP-0050,AST-089,2024-02-02,Fuel,Operational,Diesel fuel for Nakuru-Kisumu trip,110.24,Kenya,Nakuru,Cash,Kobil Kenya,RCT-55448,Approved,Finance Manager
EXP-00075,TRP-0051,AST-082,2024-01-19,Fuel,Operational,Diesel fuel for Mombasa-Kisumu trip,68.32,Kenya,Mombasa,Company Card,Shell Kenya,RCT-78879,Approved,Finance Manager
EXP-00076,TRP-0051,AST-082,2024-01-19,Tolls,Operational,Highway toll charges,5.89,Kenya,Mombasa,Cash,Highway Authority,TOLL-1204,Approved,Finance Manager
EXP-00077,TRP-0052,AST-051,2025-01-05,Fuel,Operational,Diesel fuel for Eldoret-Mbeya trip,139.84,Kenya,Eldoret,Company Card,Kobil Kenya,RCT-98179,Approved,Operations Manager
EXP-00078,TRP-0052,AST-051,2025-01-05,Border Fees,Operational,Kenya-Tanzania border crossing fees,41.09,Tanzania,Border Crossing,Cash,Tanzania Revenue Authority,BRD-3576,Approved,Operations Manager
EXP-00079,TRP-0053,AST-012,2024-04-19,Fuel,Operational,Diesel fuel for Arusha-Nakuru trip,393.61,Tanzania,Arusha,Cash,Kobil Tanzania,RCT-21668,Approved,Operations Manager
EXP-00080,TRP-0053,AST-012,2024-04-19,Tolls,Operational,Highway toll charges,23.81,Tanzania,Arusha,Cash,Highway Authority,TOLL-7742,Approved,Finance Manager
EXP-00081,TRP-0054,AST-114,2025-01-13,Fuel,Operational,Diesel fuel for Entebbe-Gulu trip,125.3,Uganda,Entebbe,Cash,Kobil Uganda,RCT-84644,Approved,Operations Manager
EXP-00082,TRP-0055,AST-118,2024-03-23,Fuel,Operational,Diesel fuel for Gulu-Kigali trip,301.79,Uganda,Gulu,Company Card,Total Uganda,RCT-63632,Approved,Operations Manager
EXP-00083,TRP-0055,AST-118,2024-03-23,Tolls,Operational,Highway toll charges,18.14,Uganda,Gulu,Cash,Highway Authority,TOLL-7492,Approved,Finance Manager
EXP-00084,TRP-0055,AST-118,2024-03-23,Border Fees,Operational,Uganda-Rwanda border crossing fees,78.43,Rwanda,Border Crossing,Cash,Rwanda Revenue Authority,BRD-9068,Approved,Operations Manager
EXP-00085,TRP-0056,AST-033,2024-01-15,Fuel,Operational,Diesel fuel for Entebbe-Entebbe trip,26.28,Uganda,Entebbe,Company Card,Total Uganda,RCT-89278,Approved,Finance Manager
EXP-00086,TRP-0056,AST-033,2024-01-15,Tolls,Operational,Highway toll charges,18.85,Uganda,Entebbe,Cash,Highway Authority,TOLL-8231,Approved,Finance Manager
EXP-00087,TRP-0057,AST-042,2025-02-09,Fuel,Operational,Diesel fuel for Mwanza-Mbeya trip,91.02,Tanzania,Mwanza,Company Card,Puma Energy Tanzania,RCT-47214,Approved,Finance Manager
EXP-00088,TRP-0057,AST-042,2025-02-09,Tolls,Operational,Highway toll charges,10.09,Tanzania,Mwanza,Cash,Highway Authority,TOLL-5699,Approved,Finance Manager
EXP-00089,TRP-0058,AST-019,2024-08-24,Fuel,Operational,Diesel fuel for Mombasa-Eldoret trip,172.89,Kenya,Mombasa,Cash,Total Kenya,RCT-79238,Approved,Operations Manager
EXP-00090,TRP-0059,AST-038,2024-04-07,Fuel,Operational,Diesel fuel for Nakuru-Nakuru trip,17.09,Kenya,Nakuru,Cash,Total Kenya,RCT-33382,Approved,Finance Manager
EXP-00091,TRP-0060,AST-098,2024-01-06,Fuel,Operational,Diesel fuel for Kisumu-Dire Dawa trip,133.94,Kenya,Kisumu,Company Card,Puma Energy Kenya,RCT-19505,Approved,Operations Manager
EXP-00092,TRP-0060,AST-098,2024-01-06,Tolls,Operational,Highway toll charges,18.41,Kenya,Kisumu,Cash,Highway Authority,TOLL-2539,Approved,Finance Manager
EXP-00093,TRP-0060,AST-098,2024-01-06,Border Fees,Operational,Kenya-Ethiopia border crossing fees,69.39,Ethiopia,Border Crossing,Cash,Ethiopia Revenue Authority,BRD-5488,Approved,Operations Manager
EXP-00094,TRP-0061,AST-019,2024-12-29,Fuel,Operational,Diesel fuel for Eldoret-Kisumu trip,93.56,Kenya,Eldoret,Cash,Puma Energy Kenya,RCT-83533,Approved,Operations Manager
EXP-00095,TRP-0061,AST-019,2024-12-29,Tolls,Operational,Highway toll charges,15.12,Kenya,Eldoret,Cash,Highway Authority,TOLL-1393,Approved,Finance Manager
EXP-00096,TRP-0062,AST-038,2024-02-29,Fuel,Operational,Diesel fuel for Mombasa-Kisumu trip,189.55,Kenya,Mombasa,Company Card,Kobil Kenya,RCT-61489,Approved,Finance Manager
EXP-00097,TRP-0062,AST-038,2024-02-29,Tolls,Operational,Highway toll charges,16.47,Kenya,Mombasa,Cash,Highway Authority,TOLL-7705,Approved,Finance Manager
EXP-00098,TRP-0063,AST-037,2025-02-12,Fuel,Operational,Diesel fuel for Mombasa-Mombasa trip,15.35,Kenya,Mombasa,Cash,Kobil Kenya,RCT-16557,Approved,Operations Manager
EXP-00099,TRP-0064,AST-075,2024-06-27,Fuel,Operational,Diesel fuel for Kisumu-Mombasa trip,44.56,Kenya,Kisumu,Cash,Kobil Kenya,RCT-69097,Approved,Finance Manager
EXP-00100,TRP-0065,AST-097,2024-03-03,Fuel,Operational,Diesel fuel for Nairobi-Kampala trip,233.47,Kenya,Nairobi,Company Card,Puma Energy Kenya,RCT-59601,Approved,Operations Manager
EXP-00101,TRP-0065,AST-097,2024-03-03,Tolls,Operational,Highway toll charges,11.16,Kenya,Nairobi,Cash,Highway Authority,TOLL-8409,Approved,Finance Manager
EXP-00102,TRP-0065,AST-097,2024-03-03,Border Fees,Operational,Kenya-Uganda border crossing fees,69.52,Uganda,Border Crossing,Cash,Uganda Revenue Authority,BRD-6187,Approved,Operations Manager
EXP-00103,TRP-0066,AST-072,2024-10-18,Fuel,Operational,Diesel fuel for Nairobi-Gisenyi trip,203.18,Kenya,Nairobi,Company Card,Puma Energy Kenya,RCT-12513,Approved,Finance Manager
EXP-00104,TRP-0066,AST-072,2024-10-18,Border Fees,Operational,Kenya-Rwanda border crossing fees,37.1,Rwanda,Border Crossing,Cash,Rwanda Revenue Authority,BRD-6930,Approved,Operations Manager
EXP-00105,TRP-0067,AST-089,2024-11-30,Fuel,Operational,Diesel fuel for Nakuru-Cyangugu trip,175.92,Kenya,Nakuru,Company Card,Kobil Kenya,RCT-68185,Approved,Finance Manager
EXP-00106,TRP-0067,AST-089,2024-11-30,Tolls,Operational,Highway toll charges,19.94,Kenya,Nakuru,Cash,Highway Authority,TOLL-5913,Approved,Finance Manager
EXP-00107,TRP-0067,AST-089,2024-11-30,Border Fees,Operational,Kenya-Rwanda border crossing fees,71.3,Rwanda,Border Crossing,Cash,Rwanda Revenue Authority,BRD-1777,Approved,Operations Manager
EXP-00108,TRP-0068,AST-094,2024-08-10,Fuel,Operational,Diesel fuel for Dar es Salaam-Dodoma trip,167.39,Tanzania,Dar es Salaam,Cash,Puma Energy Tanzania,RCT-37756,Approved,Operations Manager
EXP-00109,TRP-0068,AST-094,2024-08-10,Tolls,Operational,Highway toll charges,21.83,Tanzania,Dar es Salaam,Cash,Highway Authority,TOLL-8465,Approved,Finance Manager
EXP-00110,TRP-0069,AST-053,2024-10-09,Fuel,Operational,Diesel fuel for Bahir Dar-Gondar trip,111.12,Ethiopia,Bahir Dar,Cash,Kobil Ethiopia,RCT-69629,Approved,Operations Manager
EXP-00111,TRP-0070,AST-109,2024-08-01,Fuel,Operational,Diesel fuel for Nakuru-Bahir Dar trip,155.08,Kenya,Nakuru,Cash,Puma Energy Kenya,RCT-36204,Approved,Operations Manager
EXP-00112,TRP-0070,AST-109,2024-08-01,Tolls,Operational,Highway toll charges,12.38,Kenya,Nakuru,Cash,Highway Authority,TOLL-1169,Approved,Finance Manager
EXP-00113,TRP-0071,AST-056,2024-12-02,Fuel,Operational,Diesel fuel for Jinja-Mbarara trip,49.87,Uganda,Jinja,Company Card,Puma Energy Uganda,RCT-94149,Approved,Finance Manager
EXP-00114,TRP-0072,AST-018,2024-11-16,Fuel,Operational,Diesel fuel for Kisumu-Gulu trip,323.06,Kenya,Kisumu,Cash,Shell Kenya,RCT-21488,Approved,Operations Manager
EXP-00115,TRP-0073,AST-053,2024-12-31,Fuel,Operational,Diesel fuel for Gondar-Kampala trip,114.78,Ethiopia,Gondar,Cash,Total Ethiopia,RCT-69671,Approved,Finance Manager
EXP-00116,TRP-0073,AST-053,2024-12-31,Border Fees,Operational,Ethiopia-Uganda border crossing fees,77.19,Uganda,Border Crossing,Cash,Uganda Revenue Authority,BRD-7535,Approved,Operations Manager
EXP-00117,TRP-0074,AST-078,2024-06-26,Fuel,Operational,Diesel fuel for Kampala-Entebbe trip,122.29,Uganda,Kampala,Company Card,Puma Energy Uganda,RCT-10717,Approved,Finance Manager
EXP-00118,TRP-0074,AST-078,2024-06-26,Tolls,Operational,Highway toll charges,15.13,Uganda,Kampala,Cash,Highway Authority,TOLL-5337,Approved,Finance Manager
EXP-00119,TRP-0075,AST-025,2024-08-29,Fuel,Operational,Diesel fuel for Jinja-Kampala trip,162.62,Uganda,Jinja,Company Card,Shell Uganda,RCT-96599,Approved,Operations Manager
EXP-00120,TRP-0076,AST-018,2024-03-30,Fuel,Operational,Diesel fuel for Nairobi-Nairobi trip,19.21,Kenya,Nairobi,Company Card,Total Kenya,RCT-73569,Approved,Finance Manager
EXP-00121,TRP-0077,AST-119,2024-02-23,Fuel,Operational,Diesel fuel for Gondar-Nairobi trip,175.57,Ethiopia,Gondar,Cash,Total Ethiopia,RCT-37207,Approved,Operations Manager
EXP-00122,TRP-0078,AST-096,2024-07-05,Fuel,Operational,Diesel fuel for Kigali-Gondar trip,172.57,Rwanda,Kigali,Company Card,Puma Energy Rwanda,RCT-89988,Approved,Operations Manager
EXP-00123,TRP-0078,AST-096,2024-07-05,Border Fees,Operational,Rwanda-Ethiopia border crossing fees,44.72,Ethiopia,Border Crossing,Cash,Ethiopia Revenue Authority,BRD-6426,Approved,Operations Manager
EXP-00124,TRP-0079,AST-004,2025-02-14,Fuel,Operational,Diesel fuel for Dodoma-Kigali trip,220.12,Tanzania,Dodoma,Cash,Total Tanzania,RCT-45920,Approved,Operations Manager
EXP-00125,TRP-0079,AST-004,2025-02-14,Border Fees,Operational,Tanzania-Rwanda border crossing fees,60.43,Rwanda,Border Crossing,Cash,Rwanda Revenue Authority,BRD-1956,Approved,Operations Manager
EXP-00126,TRP-0080,AST-045,2024-11-19,Fuel,Operational,Diesel fuel for Gondar-Bahir Dar trip,78.1,Ethiopia,Gondar,Cash,Shell Ethiopia,RCT-83283,Approved,Finance Manager
EXP-00127,TRP-0081,AST-031,2024-11-28,Fuel,Operational,Diesel fuel for Gisenyi-Cyangugu trip,105.07,Rwanda,Gisenyi,Company Card,Total Rwanda,RCT-22974,Approved,Operations Manager
EXP-00128,TRP-0082,AST-014,2024-06-04,Fuel,Operational,Diesel fuel for Addis Ababa-Jinja trip,236.7,Ethiopia,Addis Ababa,Company Card,Kobil Ethiopia,RCT-98704,Approved,Operations Manager
EXP-00129,TRP-0082,AST-014,2024-06-04,Tolls,Operational,Highway toll charges,16.74,Ethiopia,Addis Ababa,Cash,Highway Authority,TOLL-4439,Approved,Finance Manager
EXP-00130,TRP-0082,AST-014,2024-06-04,Border Fees,Operational,Ethiopia-Uganda border crossing fees,32.1,Uganda,Border Crossing,Cash,Uganda Revenue Authority,BRD-5048,Approved,Operations Manager
EXP-00131,TRP-0083,AST-070,2024-09-30,Fuel,Operational,Diesel fuel for Kisumu-Eldoret trip,138.63,Kenya,Kisumu,Cash,Puma Energy Kenya,RCT-51392,Approved,Finance Manager
EXP-00132,TRP-0083,AST-070,2024-09-30,Tolls,Operational,Highway toll charges,13.42,Kenya,Kisumu,Cash,Highway Authority,TOLL-7667,Approved,Finance Manager
EXP-00133,TRP-0084,AST-063,2024-08-31,Fuel,Operational,Diesel fuel for Arusha-Dodoma trip,157.36,Tanzania,Arusha,Cash,Shell Tanzania,RCT-69379,Approved,Finance Manager
EXP-00134,TRP-0085,AST-015,2024-09-27,Fuel,Operational,Diesel fuel for Gulu-Entebbe trip,157.46,Uganda,Gulu,Company Card,Kobil Uganda,RCT-75093,Approved,Finance Manager
EXP-00135,TRP-0085,AST-015,2024-09-27,Tolls,Operational,Highway toll charges,15.58,Uganda,Gulu,Cash,Highway Authority,TOLL-3298,Approved,Finance Manager
EXP-00136,TRP-0086,AST-012,2024-03-13,Fuel,Operational,Diesel fuel for Arusha-Entebbe trip,125.49,Tanzania,Arusha,Company Card,Shell Tanzania,RCT-71087,Approved,Finance Manager
