incident_id,trip_id,asset_id,driver_id,incident_date,incident_time,incident_country,incident_location,incident_type,severity,description,injuries,damage_cost_usd,downtime_hours,insurance_claim,claim_amount_usd,resolution_status,resolution_date,preventable
INC-0011,TRP-2059,AST-072,DRV-039,2024-01-08,21:53:41,Kenya,Eldoret - Nakuru Route,Cargo Damage,Medium,Cargo Damage occurred during transit,0,1665.86,0.0,Yes,1446.29,Resolved,2024-01-11,No
INC-0012,TRP-0702,AST-048,DRV-034,2024-09-09,15:00:16,Kenya,Kisumu - Nakuru Route,Mechanical Failure,Medium,Mechanical Failure occurred during transit,0,917.14,6.4,Yes,839.88,Resolved,2024-09-12,Yes
INC-0013,TRP-1976,AST-010,DRV-030,2024-05-04,14:21:30,Tanzania,Dar es Salaam - Mwanza Route,Traffic Accident,High,Traffic Accident occurred during transit,0,1764.08,13.9,Yes,1649.1,Pending,2024-05-09,No
INC-0014,TRP-0574,AST-077,DRV-018,2024-02-13,16:54:05,Kenya,Mbeya - Eldoret Route,Traffic Accident,High,Traffic Accident occurred during transit,0,1957.63,11.1,Yes,1781.1,Resolved,2024-02-25,No
INC-0015,TRP-2548,AST-061,DRV-125,2024-05-31,00:51:17,Rwanda,Kigali - Gisenyi Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,2.6,No,0,Resolved,2024-06-09,Yes
INC-0016,TRP-1072,AST-028,DRV-092,2024-07-17,05:37:37,Kenya,Eldoret - Mombasa Route,Theft Attempt,Medium,Theft Attempt occurred during transit,0,580.06,1.7,Yes,532.86,Resolved,2024-07-30,No
INC-0017,TRP-0655,AST-026,DRV-040,2024-10-18,23:12:08,Tanzania,Dodoma - Nairobi Route,Traffic Accident,High,Traffic Accident occurred during transit,0,1626.73,6.8,Yes,1430.05,Resolved,2024-11-01,No
INC-0018,TRP-2193,AST-011,DRV-085,2024-01-14,11:32:32,Kenya,Eldoret - Eldoret Route,Traffic Accident,High,Traffic Accident occurred during transit,0,1622.14,10.6,Yes,1499.57,Resolved,2024-01-15,No
INC-0019,TRP-2544,AST-027,DRV-004,2024-08-08,12:14:12,Kenya,Kisumu - Nairobi Route,Theft Attempt,Medium,Theft Attempt occurred during transit,0,398.28,1.1,Yes,354.98,Resolved,2024-08-16,No
INC-0020,TRP-2230,AST-013,DRV-048,2024-06-07,18:37:31,Rwanda,Entebbe - Gisenyi Route,Tire Blowout,Low,Tire Blowout occurred during transit,0,141.36,3.4,No,0,Resolved,2024-06-11,No
INC-0021,TRP-0309,AST-035,DRV-015,2024-03-23,15:27:07,Uganda,Mbarara - Kampala Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,942.25,0.0,Yes,852.47,Resolved,2024-03-27,Yes
INC-0022,TRP-0452,AST-040,DRV-070,2024-10-28,13:14:47,Kenya,Kisumu - Nakuru Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,2.6,No,0,Resolved,2024-11-11,No
INC-0023,TRP-1732,AST-101,DRV-109,2025-02-09,04:09:56,Ethiopia,Gondar - Bahir Dar Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,3.5,No,0,Resolved,2025-02-18,Yes
INC-0024,TRP-1772,AST-040,DRV-070,2024-02-17,02:06:35,Tanzania,Eldoret - Mbeya Route,Tire Blowout,Medium,Tire Blowout occurred during transit,0,377.73,3.2,Yes,339.34,Resolved,2024-03-01,No
INC-0025,TRP-1163,AST-116,DRV-122,2024-06-26,15:17:26,Uganda,Gulu - Gondar Route,Traffic Accident,Low,Traffic Accident occurred during transit,0,341.34,13.9,Yes,309.8,Resolved,2024-06-28,No
INC-0026,TRP-2447,AST-063,DRV-133,2024-07-24,07:17:04,Tanzania,Arusha - Mbeya Route,Mechanical Failure,Low,Mechanical Failure occurred during transit,0,472.97,4.2,Yes,436.89,Resolved,2024-08-03,Yes
INC-0027,TRP-1949,AST-053,DRV-080,2024-03-21,02:39:39,Rwanda,Addis Ababa - Ruhengeri Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,3.9,No,0,Resolved,2024-03-31,Yes
INC-0028,TRP-0665,AST-094,DRV-138,2024-11-09,14:06:07,Tanzania,Dar es Salaam - Dar es Salaam Route,Mechanical Failure,Medium,Mechanical Failure occurred during transit,0,1088.3,9.0,Yes,973.33,Resolved,2024-11-17,No
INC-0029,TRP-2748,AST-075,DRV-101,2024-10-28,17:30:42,Kenya,Eldoret - Nakuru Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,4.4,No,0,Resolved,2024-11-01,No
INC-0030,TRP-1106,AST-075,DRV-101,2024-12-18,00:01:52,Uganda,Nairobi - Mbarara Route,Theft Attempt,High,Theft Attempt occurred during transit,1,1233.82,1.0,Yes,1072.44,Resolved,2025-01-01,No
INC-0031,TRP-2150,AST-021,DRV-077,2024-09-29,03:44:44,Rwanda,Gisenyi - Kigali Route,Tire Blowout,Medium,Tire Blowout occurred during transit,0,383.06,4.0,Yes,329.89,Resolved,2024-10-01,Yes
INC-0032,TRP-1010,AST-053,DRV-080,2024-11-05,05:47:45,Ethiopia,Mekele - Mekele Route,Traffic Accident,High,Traffic Accident occurred during transit,0,1919.48,9.6,Yes,1643.91,Resolved,2024-11-12,No
INC-0033,TRP-0635,AST-033,DRV-015,2024-01-07,09:44:51,Rwanda,Gulu - Kigali Route,Mechanical Failure,Medium,Mechanical Failure occurred during transit,0,1105.8,9.2,Yes,1050.34,Resolved,2024-01-17,Yes
INC-0034,TRP-1293,AST-107,DRV-004,2024-10-08,18:05:15,Kenya,Mombasa - Eldoret Route,Traffic Accident,Medium,Traffic Accident occurred during transit,0,1033.98,15.4,Yes,932.75,Resolved,2024-10-11,No
INC-0035,TRP-2462,AST-115,DRV-054,2025-01-02,16:26:52,Tanzania,Dodoma - Mbeya Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,3.9,No,0,Resolved,2025-01-04,Yes
INC-0036,TRP-1318,AST-103,DRV-125,2024-12-26,12:55:32,Rwanda,Ruhengeri - Mombasa Route,Theft Attempt,High,Theft Attempt occurred during transit,0,990.46,2.2,Yes,866.26,Resolved,2024-12-28,No
INC-0037,TRP-2029,AST-020,DRV-104,2024-04-01,16:53:10,Rwanda,Gisenyi - Cyangugu Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,971.26,0.0,Yes,836.34,Resolved,2024-04-02,No
INC-0038,TRP-1230,AST-114,DRV-015,2025-02-03,14:23:50,Uganda,Gulu - Kampala Route,Mechanical Failure,Low,Mechanical Failure occurred during transit,0,498.1,5.3,Yes,430.99,Resolved,2025-02-10,Yes
INC-0039,TRP-2864,AST-045,DRV-099,2024-11-26,11:27:22,Ethiopia,Addis Ababa - Gondar Route,Tire Blowout,Medium,Tire Blowout occurred during transit,0,351.4,3.4,Yes,315.01,Resolved,2024-12-01,No
INC-0040,TRP-2259,AST-031,DRV-013,2024-05-26,22:56:16,Rwanda,Ruhengeri - Mwanza Route,Mechanical Failure,High,Mechanical Failure occurred during transit,0,2519.0,9.9,Yes,2163.77,Resolved,2024-06-05,Yes
INC-0041,TRP-1499,AST-006,DRV-129,2024-03-04,13:22:05,Rwanda,Gisenyi - Kigali Route,Theft Attempt,High,Theft Attempt occurred during transit,0,1020.23,2.9,Yes,905.92,Resolved,2024-03-05,No
INC-0042,TRP-2986,AST-066,DRV-021,2024-12-16,12:34:29,Tanzania,Dar es Salaam - Mwanza Route,Traffic Accident,Medium,Traffic Accident occurred during transit,0,812.52,17.3,Yes,697.27,Resolved,2024-12-17,No
INC-0043,TRP-0445,AST-043,DRV-021,2024-05-09,19:48:01,Tanzania,Mbeya - Mwanza Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,828.19,0.0,Yes,766.1,Resolved,2024-05-16,No
INC-0044,TRP-0897,AST-018,DRV-029,2024-12-14,17:28:41,Kenya,Nakuru - Gondar Route,Tire Blowout,Low,Tire Blowout occurred during transit,0,216.75,2.1,No,0,Resolved,2024-12-15,No
INC-0045,TRP-0845,AST-110,DRV-028,2025-01-03,19:39:31,Uganda,Jinja - Mbarara Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,937.69,0.0,Yes,836.89,Resolved,2025-01-15,Yes
INC-0046,TRP-2046,AST-015,DRV-116,2024-03-12,15:21:38,Tanzania,Entebbe - Mbeya Route,Mechanical Failure,High,Mechanical Failure occurred during transit,0,2690.64,4.9,Yes,2453.92,Resolved,2024-03-23,No
INC-0047,TRP-1441,AST-045,DRV-099,2024-01-27,13:57:33,Ethiopia,Gondar - Bahir Dar Route,Traffic Accident,Low,Traffic Accident occurred during transit,0,440.76,14.3,Yes,408.13,Resolved,2024-01-29,No
INC-0048,TRP-2380,AST-017,DRV-089,2024-08-27,01:08:09,Kenya,Nairobi - Nairobi Route,Theft Attempt,High,Theft Attempt occurred during transit,0,1195.17,1.4,Yes,1055.39,Resolved,2024-09-07,No
INC-0049,TRP-2370,AST-080,DRV-129,2024-11-26,18:31:02,Ethiopia,Gisenyi - Addis Ababa Route,Mechanical Failure,Medium,Mechanical Failure occurred during transit,0,1471.0,7.9,Yes,1277.74,Pending,2024-12-07,Yes
INC-0050,TRP-0813,AST-115,DRV-054,2024-06-08,00:31:01,Uganda,Dodoma - Entebbe Route,Driver Illness,Low,Driver Illness occurred during transit,0,114.98,22.8,No,0,Pending,2024-06-09,Yes
INC-0051,TRP-0916,AST-082,DRV-047,2024-09-11,05:15:43,Kenya,Nakuru - Nakuru Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,3.4,No,0,Resolved,2024-09-24,No
INC-0052,TRP-1048,AST-087,DRV-002,2024-11-21,07:40:15,Tanzania,Dodoma - Arusha Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,815.23,0.0,Yes,707.05,Resolved,2024-11-25,No
INC-0053,TRP-1504,AST-026,DRV-040,2024-02-22,08:57:43,Tanzania,Arusha - Arusha Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,4.5,No,0,Pending,2024-02-25,Yes
INC-0054,TRP-2262,AST-087,DRV-002,2024-11-05,09:17:37,Tanzania,Arusha - Mbeya Route,Theft Attempt,High,Theft Attempt occurred during transit,0,1268.69,1.5,Yes,1161.42,Resolved,2024-11-09,No
INC-0055,TRP-0767,AST-071,DRV-125,2024-08-25,04:24:21,Rwanda,Cyangugu - Cyangugu Route,Driver Illness,Low,Driver Illness occurred during transit,0,120.38,22.7,No,0,Resolved,2024-09-07,Yes
INC-0056,TRP-0849,AST-065,DRV-124,2024-04-05,19:12:41,Uganda,Entebbe - Dodoma Route,Theft Attempt,High,Theft Attempt occurred during transit,0,903.73,3.0,Yes,825.82,Resolved,2024-04-09,No
INC-0057,TRP-2246,AST-037,DRV-101,2025-01-22,18:39:13,Kenya,Eldoret - Eldoret Route,Tire Blowout,Medium,Tire Blowout occurred during transit,0,332.59,1.6,Yes,285.14,Resolved,2025-01-26,Yes
INC-0058,TRP-2184,AST-104,DRV-055,2024-01-29,07:26:58,Tanzania,Mbeya - Gulu Route,Theft Attempt,High,Theft Attempt occurred during transit,0,827.54,2.4,Yes,738.29,Resolved,2024-02-04,No
INC-0059,TRP-0363,AST-087,DRV-002,2024-09-24,03:33:01,Tanzania,Mwanza - Mwanza Route,Driver Illness,Low,Driver Illness occurred during transit,0,93.71,31.2,No,0,Pending,2024-10-03,No
INC-0060,TRP-2057,AST-013,DRV-048,2024-02-11,22:45:43,Uganda,Mbarara - Gulu Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,710.63,0.0,Yes,628.99,Resolved,2024-02-12,Yes
INC-0061,TRP-2002,AST-029,DRV-105,2024-01-24,15:45:51,Kenya,Kisumu - Nakuru Route,Driver Illness,Low,Driver Illness occurred during transit,0,80.13,32.1,No,0,Resolved,2024-01-27,Yes
INC-0062,TRP-0458,AST-037,DRV-101,2024-10-05,16:23:40,Kenya,Eldoret - Eldoret Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,3.9,No,0,Resolved,2024-10-08,Yes
INC-0063,TRP-1628,AST-061,DRV-125,2024-12-30,12:01:32,Rwanda,Ruhengeri - Mbarara Route,Traffic Accident,Low,Traffic Accident occurred during transit,0,483.24,6.8,Yes,448.4,Resolved,2025-01-09,No
INC-0064,TRP-2421,AST-103,DRV-125,2024-10-08,00:24:40,Ethiopia,Ruhengeri - Addis Ababa Route,Tire Blowout,Medium,Tire Blowout occurred during transit,0,364.47,2.9,Yes,330.51,Resolved,2024-10-19,No
INC-0065,TRP-1036,AST-098,DRV-044,2024-09-27,22:04:37,Kenya,Nairobi - Nairobi Route,Driver Illness,Low,Driver Illness occurred during transit,0,115.52,22.6,No,0,Resolved,2024-09-28,Yes
INC-0066,TRP-1570,AST-113,DRV-076,2024-02-27,20:25:06,Rwanda,Butare - Butare Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,4.9,No,0,Resolved,2024-03-02,Yes
INC-0067,TRP-1799,AST-004,DRV-078,2024-04-22,03:23:55,Tanzania,Mbeya - Arusha Route,Mechanical Failure,Low,Mechanical Failure occurred during transit,0,736.2,5.8,Yes,628.52,Resolved,2024-05-03,Yes
INC-0068,TRP-1412,AST-107,DRV-004,2024-11-19,13:40:01,Kenya,Nairobi - Mombasa Route,Mechanical Failure,Low,Mechanical Failure occurred during transit,0,488.36,10.0,Yes,444.22,Resolved,2024-11-29,Yes
INC-0069,TRP-2977,AST-098,DRV-044,2024-11-01,00:57:38,Kenya,Eldoret - Nairobi Route,Theft Attempt,Medium,Theft Attempt occurred during transit,0,357.17,1.9,Yes,304.31,Resolved,2024-11-13,No
INC-0070,TRP-2302,AST-071,DRV-125,2024-06-07,03:03:04,Uganda,Kigali - Jinja Route,Theft Attempt,High,Theft Attempt occurred during transit,0,704.23,2.4,Yes,643.51,Resolved,2024-06-09,No
INC-0071,TRP-2512,AST-087,DRV-002,2024-01-09,10:59:00,Rwanda,Arusha - Gisenyi Route,Theft Attempt,Medium,Theft Attempt occurred during transit,0,498.03,1.5,Yes,471.89,Resolved,2024-01-19,No
INC-0072,TRP-2736,AST-066,DRV-021,2024-02-03,08:36:04,Tanzania,Mwanza - Dar es Salaam Route,Theft Attempt,Medium,Theft Attempt occurred during transit,1,360.49,2.2,Yes,320.19,Resolved,2024-02-07,No
INC-0073,TRP-0557,AST-004,DRV-078,2024-12-30,22:06:29,Tanzania,Mwanza - Dar es Salaam Route,Theft Attempt,High,Theft Attempt occurred during transit,0,1242.38,2.0,Yes,1124.27,Pending,2025-01-01,No
INC-0074,TRP-2474,AST-003,DRV-105,2024-02-24,05:19:31,Uganda,Nairobi - Mbarara Route,Traffic Accident,Low,Traffic Accident occurred during transit,0,335.44,12.0,Yes,311.14,Resolved,2024-03-05,No
INC-0075,TRP-2574,AST-010,DRV-030,2024-01-10,02:32:45,Tanzania,Mbeya - Dar es Salaam Route,Cargo Damage,Medium,Cargo Damage occurred during transit,0,1076.12,0.0,Yes,965.46,Resolved,2024-01-13,No
INC-0076,TRP-0745,AST-029,DRV-105,2024-08-11,16:49:09,Rwanda,Mombasa - Kigali Route,Tire Blowout,Low,Tire Blowout occurred during transit,0,201.73,3.3,No,0,Resolved,2024-08-20,Yes
INC-0077,TRP-1270,AST-080,DRV-129,2025-02-10,14:59:07,Rwanda,Cyangugu - Mekele Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,2.7,No,0,Resolved,2025-02-13,No
INC-0078,TRP-2649,AST-008,DRV-031,2024-11-18,10:26:36,Uganda,Kampala - Jinja Route,Traffic Accident,High,Traffic Accident occurred during transit,0,1207.02,9.2,Yes,1128.4,Resolved,2024-11-24,No
INC-0079,TRP-1869,AST-038,DRV-119,2024-10-19,20:39:34,Kenya,Nairobi - Nakuru Route,Cargo Damage,Medium,Cargo Damage occurred during transit,0,1285.51,0.0,Yes,1116.89,Resolved,2024-10-21,Yes
INC-0080,TRP-1666,AST-012,DRV-065,2024-03-22,01:29:17,Ethiopia,Dar es Salaam - Mekele Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,2.9,No,0,Resolved,2024-04-01,No
INC-0081,TRP-2127,AST-115,DRV-054,2024-06-01,14:59:38,Ethiopia,Mbeya - Dire Dawa Route,Driver Illness,Low,Driver Illness occurred during transit,0,124.32,25.2,No,0,Resolved,2024-06-07,Yes
INC-0082,TRP-0132,AST-081,DRV-122,2024-12-02,05:19:38,Uganda,Entebbe - Entebbe Route,Driver Illness,Low,Driver Illness occurred during transit,0,86.22,18.9,No,0,Resolved,2024-12-09,Yes
INC-0083,TRP-1936,AST-086,DRV-122,2024-02-25,17:52:41,Uganda,Jinja - Jinja Route,Traffic Accident,High,Traffic Accident occurred during transit,1,1552.63,15.8,Yes,1372.22,Pending,2024-03-02,No
INC-0084,TRP-0558,AST-119,DRV-022,2024-12-10,10:12:52,Kenya,Gondar - Nairobi Route,Mechanical Failure,High,Mechanical Failure occurred during transit,0,2471.23,7.6,Yes,2146.43,Pending,2024-12-16,Yes
INC-0085,TRP-1351,AST-107,DRV-004,2025-01-21,03:35:27,Kenya,Mombasa - Kisumu Route,Cargo Damage,Medium,Cargo Damage occurred during transit,0,1251.34,0.0,Yes,1152.03,Resolved,2025-01-26,No
INC-0086,TRP-1921,AST-108,DRV-116,2024-11-20,17:48:53,Uganda,Entebbe - Gulu Route,Traffic Accident,Medium,Traffic Accident occurred during transit,0,562.28,14.9,Yes,499.62,Pending,2024-11-23,No
INC-0087,TRP-2714,AST-102,DRV-140,2025-02-20,16:17:33,Rwanda,Butare - Ruhengeri Route,Traffic Accident,Low,Traffic Accident occurred during transit,0,305.83,11.1,Yes,269.02,Resolved,2025-02-21,No
INC-0088,TRP-2337,AST-017,DRV-089,2024-07-10,18:30:29,Kenya,Kisumu - Gulu Route,Mechanical Failure,Medium,Mechanical Failure occurred during transit,1,1245.47,10.5,Yes,1175.35,Resolved,2024-07-23,Yes
INC-0089,TRP-1813,AST-034,DRV-099,2024-12-04,14:06:17,Uganda,Gondar - Entebbe Route,Cargo Damage,Medium,Cargo Damage occurred during transit,0,1285.93,0.0,Yes,1221.03,Pending,2024-12-07,Yes
INC-0090,TRP-1461,AST-018,DRV-029,2025-01-21,22:34:41,Kenya,Eldoret - Nairobi Route,Traffic Accident,Low,Traffic Accident occurred during transit,0,339.92,12.7,Yes,315.59,Resolved,2025-01-23,No
INC-0091,TRP-2591,AST-037,DRV-101,2025-02-11,05:15:07,Rwanda,Eldoret - Butare Route,Driver Illness,Low,Driver Illness occurred during transit,0,103.5,22.3,No,0,Resolved,2025-02-15,Yes
INC-0092,TRP-0299,AST-075,DRV-101,2024-09-25,14:59:54,Kenya,Kisumu - Kisumu Route,Theft Attempt,High,Theft Attempt occurred during transit,0,1050.87,2.4,Yes,916.79,Resolved,2024-10-04,No
INC-0093,TRP-0778,AST-004,DRV-078,2024-01-26,12:09:50,Tanzania,Dodoma - Arusha Route,Driver Illness,Medium,Driver Illness occurred during transit,1,251.09,33.4,No,0,Resolved,2024-02-07,No
INC-0094,TRP-0381,AST-011,DRV-085,2024-11-20,19:18:09,Kenya,Kisumu - Nakuru Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,3.7,No,0,Resolved,2024-11-28,Yes
INC-0095,TRP-1327,AST-095,DRV-005,2024-07-04,14:59:30,Rwanda,Cyangugu - Butare Route,Theft Attempt,High,Theft Attempt occurred during transit,0,1132.81,1.3,Yes,1021.67,Resolved,2024-07-08,No
INC-0096,TRP-1141,AST-088,DRV-049,2024-10-03,14:31:29,Ethiopia,Gondar - Mekele Route,Driver Illness,Medium,Driver Illness occurred during transit,0,145.69,28.6,No,0,Pending,2024-10-14,Yes
INC-0097,TRP-1714,AST-035,DRV-015,2025-02-18,17:32:05,Ethiopia,Jinja - Dire Dawa Route,Driver Illness,Medium,Driver Illness occurred during transit,1,215.5,26.1,No,0,Resolved,2025-02-21,No
INC-0098,TRP-0769,AST-088,DRV-049,2024-04-05,10:11:00,Ethiopia,Gondar - Addis Ababa Route,Mechanical Failure,Medium,Mechanical Failure occurred during transit,0,1271.95,9.9,Yes,1111.7,Resolved,2024-04-10,Yes
INC-0099,TRP-1734,AST-038,DRV-119,2024-12-18,18:57:17,Kenya,Nairobi - Nairobi Route,Traffic Accident,Low,Traffic Accident occurred during transit,0,362.24,16.3,Yes,342.59,Resolved,2024-12-24,No
INC-0100,TRP-2043,AST-055,DRV-077,2025-01-05,19:43:43,Rwanda,Gisenyi - Kigali Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,680.39,0.0,Yes,641.31,Pending,2025-01-16,No
INC-0101,TRP-2685,AST-066,DRV-021,2025-02-27,02:10:58,Tanzania,Dar es Salaam - Entebbe Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,638.04,0.0,Yes,565.29,Resolved,2025-03-12,No
INC-0102,TRP-1730,AST-057,DRV-031,2024-11-16,10:17:31,Uganda,Gulu - Kampala Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,3.0,No,0,Resolved,2024-11-24,Yes
INC-0103,TRP-0620,AST-076,DRV-041,2024-10-15,23:33:25,Kenya,Nairobi - Eldoret Route,Theft Attempt,Medium,Theft Attempt occurred during transit,0,432.51,2.7,Yes,373.81,Resolved,2024-10-22,No
INC-0104,TRP-0426,AST-011,DRV-085,2024-01-17,08:32:23,Kenya,Kisumu - Kisumu Route,Tire Blowout,Low,Tire Blowout occurred during transit,0,177.5,2.0,No,0,Pending,2024-01-19,No
INC-0105,TRP-0890,AST-046,DRV-117,2024-01-26,02:54:16,Kenya,Nairobi - Nakuru Route,Theft Attempt,Medium,Theft Attempt occurred during transit,0,487.38,1.1,Yes,429.59,Resolved,2024-02-05,No
INC-0106,TRP-2809,AST-044,DRV-001,2024-10-15,05:47:57,Uganda,Mbarara - Kampala Route,Traffic Accident,Medium,Traffic Accident occurred during transit,0,968.13,11.8,Yes,877.42,Pending,2024-10-24,No
INC-0107,TRP-1778,AST-108,DRV-116,2024-05-04,01:15:33,Uganda,Entebbe - Mbarara Route,Mechanical Failure,High,Mechanical Failure occurred during transit,2,2975.19,6.2,Yes,2633.44,Resolved,2024-05-06,Yes
INC-0108,TRP-0051,AST-082,DRV-047,2024-01-20,06:39:53,Kenya,Mombasa - Kisumu Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,5.9,No,0,Resolved,2024-01-26,Yes
INC-0109,TRP-1775,AST-038,DRV-119,2024-02-05,09:55:40,Kenya,Nairobi - Nakuru Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,3.4,No,0,Resolved,2024-02-10,Yes
INC-0110,TRP-0605,AST-102,DRV-140,2024-08-30,15:05:51,Rwanda,Butare - Ruhengeri Route,Theft Attempt,Medium,Theft Attempt occurred during transit,2,505.34,1.5,Yes,467.78,Resolved,2024-09-10,No
INC-0111,TRP-2524,AST-038,DRV-119,2024-03-17,20:20:28,Kenya,Eldoret - Nairobi Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,5.8,No,0,Resolved,2024-03-19,No
INC-0112,TRP-1168,AST-027,DRV-004,2024-01-04,08:29:53,Kenya,Kisumu - Nairobi Route,Mechanical Failure,Medium,Mechanical Failure occurred during transit,0,1394.59,5.5,Yes,1219.38,Resolved,2024-01-06,Yes
INC-0113,TRP-2418,AST-045,DRV-099,2024-09-11,15:54:11,Ethiopia,Gondar - Addis Ababa Route,Theft Attempt,High,Theft Attempt occurred during transit,1,892.01,2.0,Yes,828.62,Resolved,2024-09-15,No
INC-0114,TRP-1129,AST-044,DRV-001,2024-12-06,22:06:11,Uganda,Mbarara - Mbarara Route,Documentation Issue,Low,Documentation Issue occurred during transit,0,0.0,2.2,No,0,Resolved,2024-12-10,Yes
INC-0115,TRP-1092,AST-060,DRV-140,2024-10-24,02:35:03,Rwanda,Kigali - Butare Route,Traffic Accident,High,Traffic Accident occurred during transit,0,1441.5,6.0,Yes,1282.76,Resolved,2024-10-25,No
INC-0116,TRP-1906,AST-116,DRV-122,2024-09-15,21:45:18,Uganda,Kampala - Mbarara Route,Tire Blowout,Low,Tire Blowout occurred during transit,0,231.16,3.6,No,0,Resolved,2024-09-23,No
INC-0117,TRP-2571,AST-004,DRV-078,2024-06-15,10:35:40,Tanzania,Dar es Salaam - Mbeya Route,Driver Illness,Low,Driver Illness occurred during transit,0,92.99,29.8,No,0,Resolved,2024-06-16,No
INC-0118,TRP-0751,AST-011,DRV-085,2024-02-19,07:49:24,Rwanda,Eldoret - Gisenyi Route,Mechanical Failure,Medium,Mechanical Failure occurred during transit,0,1551.9,6.2,Yes,1397.27,Resolved,2024-02-21,No
INC-0119,TRP-2901,AST-100,DRV-054,2024-08-31,02:43:12,Tanzania,Arusha - Mbeya Route,Cargo Damage,Low,Cargo Damage occurred during transit,0,968.06,0.0,Yes,875.69,Resolved,2024-09-06,Yes
INC-0120,TRP-0554,AST-072,DRV-039,2024-08-19,12:30:00,Kenya,Kisumu - Eldoret Route,Tire Blowout,Low,Tire Blowout occurred during transit,0,187.09,2.9,No,0,Pending,2024-08-28,Yes
INC-0121,TRP-1276,AST-098,DRV-044,2025-02-03,18:02:00,Kenya,Mombasa - Nairobi Route,Theft Attempt,High,Theft Attempt occurred during transit,0,1070.61,2.0,Yes,1001.15,Pending,2025-02-07,No
