client_id,client_name,client_type,industry,country,city,contact_person,phone_number,email,registration_date,credit_limit_usd,payment_terms_days,total_shipments,total_revenue_usd,outstanding_balance_usd,client_status,preferred_product_types
CLT-024,Industrial Suppliers Kenya,Manufacturing,Electronics,Kenya,Kisumu,Eric Kebede,+254762866875,contact@techhub.co.ke,2023-01-23,75000,30,546,1251432,0,Active,Beverages|Agricultural|Pharmaceuticals
CLT-025,Fashion Retail Kenya,E-commerce,Construction,Kenya,Kisumu,Sara Mugisha,+254732049389,contact@techhub.co.ke,2020-08-28,75000,15,514,258028,12901,Active,Automotive|Pharmaceuticals|Electronics
CLT-026,Telecom Solutions Tanzania,E-commerce,Telecommunications,Tanzania,Dar es Salaam,David Chebet,+255723976493,contact@techhub.co.tz,2021-03-04,30000,30,207,343413,0,Active,Construction|FMCG|Telecommunications
CLT-027,PharmaCare Kenya,Government,Automotive,Kenya,Eldoret,Meseret Kimani,+254701756387,contact@techhub.co.ke,2019-03-07,50000,60,551,1461803,0,Active,Textiles|Electronics|Construction
CLT-028,AgriExport Rwanda,Retail,Construction,Rwanda,Cyangugu,David Kebede,+250709447334,contact@techhub.co.rw,2021-08-16,75000,15,475,955225,47761,Active,Industrial
CLT-029,Export Corp Ethiopia,Government,Agriculture,Ethiopia,Bahir Dar,Samuel Tesfaye,+251761568435,contact@techhub.co.et,2019-07-18,100000,15,594,1234332,0,Active,Agricultural|Pharmaceuticals|Automotive
CLT-030,Trade Partners Kenya,Manufacturing,Pharmaceuticals,Kenya,Kisumu,Moses Abebe,+254784992144,contact@techhub.co.ke,2021-04-02,100000,45,596,1762372,0,Active,Construction|Telecommunications
CLT-031,Retail Solutions Tanzania,NGO,Textiles,Tanzania,Mbeya,John Uwase,+255718130896,contact@techhub.co.tz,2020-03-14,75000,15,418,983554,0,Active,Electronics|Industrial
CLT-032,Electronics Hub Kenya,Retail,Textiles,Kenya,Kisumu,Daniel Chebet,+254735566111,contact@techhub.co.ke,2023-10-19,75000,30,573,1591794,0,Active,Pharmaceuticals|FMCG|Electronics
CLT-033,Beverage Distributors Rwanda,Healthcare,Agriculture,Rwanda,Kigali,Rose Alemu,+250740318100,contact@techhub.co.rw,2019-07-08,30000,60,129,235941,11797,Active,Beverages
CLT-034,TechHub Kenya,Manufacturing,Automotive,Kenya,Nakuru,Peter Khamis,+254770381542,contact@techhub.co.ke,2023-04-28,30000,45,476,472668,23633,Active,Industrial
CLT-035,FoodDistributors Kenya,Wholesale,Electronics,Kenya,Kisumu,Emmanuel Korir,+254717742113,contact@techhub.co.ke,2021-10-25,75000,15,452,1050900,52545,Active,Telecommunications|FMCG|Agricultural
CLT-036,Industrial Suppliers Uganda,Manufacturing,FMCG,Uganda,Entebbe,Jean Wasswa,+256787543303,contact@techhub.co.ug,2022-01-27,150000,30,458,1170190,0,Active,Pharmaceuticals|Industrial|Beverages
CLT-037,FoodDistributors Ethiopia,Wholesale,FMCG,Ethiopia,Mekele,Samuel Mwinyi,+251743048774,contact@techhub.co.et,2021-12-09,75000,15,322,728042,0,Active,FMCG|Industrial|Automotive
CLT-038,Global Supply Kenya,NGO,Telecommunications,Kenya,Mombasa,Hanna Kebede,+254711517819,contact@techhub.co.ke,2020-12-17,30000,15,199,458496,0,Active,Agricultural
CLT-039,AutoParts Plus Uganda,Retail,Construction,Uganda,Mbarara,Ibrahim Salim,+256773339816,contact@techhub.co.ug,2019-10-30,150000,45,163,285087,0,Active,Construction
CLT-040,AgriExport Uganda,Healthcare,Electronics,Uganda,Kampala,Catherine Alemu,+256701118594,contact@techhub.co.ug,2019-10-17,30000,60,311,372267,0,Active,Industrial
CLT-041,Telecom Solutions Uganda,NGO,FMCG,Uganda,Kampala,Eric Habimana,+256780142265,contact@techhub.co.ug,2022-09-13,150000,15,69,117162,5858,Active,Automotive|Agricultural|Industrial
CLT-042,MediSupply Tanzania,Government,Electronics,Tanzania,Mwanza,John Nsubuga,+255791846715,contact@techhub.co.tz,2021-07-26,75000,45,90,136170,13617,Active,Construction|Beverages
CLT-043,AgriExport Kenya,NGO,Electronics,Kenya,Mombasa,Daniel Musoke,+254752726977,contact@techhub.co.ke,2021-10-23,50000,15,313,652605,32630,Active,Telecommunications
CLT-044,Electronics Hub Tanzania,NGO,Agriculture,Tanzania,Mbeya,Joseph Salim,+255787573396,contact@techhub.co.tz,2022-10-20,50000,30,477,707868,0,Active,Textiles|Construction
CLT-045,Industrial Suppliers Kenya,Wholesale,Automotive,Kenya,Nairobi,Fatuma Okello,+254719531743,contact@techhub.co.ke,2022-12-15,30000,45,198,556974,55697,Active,FMCG|Telecommunications
CLT-046,Fashion Retail Tanzania,Healthcare,Textiles,Tanzania,Mbeya,Ahmed Kayitesi,+255776107235,contact@techhub.co.tz,2021-04-22,150000,30,205,260145,0,Active,Electronics
CLT-047,MediSupply Kenya,Retail,Telecommunications,Kenya,Nakuru,Marie Chebet,+254721983035,contact@techhub.co.ke,2019-02-23,50000,30,187,478159,23907,Active,Construction|Pharmaceuticals
CLT-048,Trade Partners Rwanda,Healthcare,Agriculture,Rwanda,Ruhengeri,Zainab Kato,+250754340297,contact@techhub.co.rw,2019-01-31,30000,60,257,343609,0,Active,Industrial|Beverages
CLT-049,Telecom Solutions Kenya,E-commerce,Electronics,Kenya,Eldoret,Emmanuel Haile,+254705268263,contact@techhub.co.ke,2023-03-01,150000,60,583,552101,0,Active,Agricultural
CLT-050,FoodDistributors Uganda,Manufacturing,Telecommunications,Uganda,Jinja,Christine Ochieng,+256792603918,contact@techhub.co.ug,2019-04-11,150000,30,457,798379,39918,Active,Beverages|Pharmaceuticals
CLT-051,Electronics Hub Uganda,Retail,Pharmaceuticals,Uganda,Mbarara,Meseret Mwinyi,+256761026547,contact@techhub.co.ug,2019-07-05,30000,45,188,396680,0,Active,Electronics|Pharmaceuticals
CLT-052,Telecom Solutions Uganda,Government,FMCG,Uganda,Mbarara,Amina Nakato,+256773866174,contact@techhub.co.ug,2022-12-28,100000,15,143,138281,6914,Active,Construction|FMCG|Automotive
CLT-053,Agricultural Traders Ethiopia,Wholesale,Pharmaceuticals,Ethiopia,Dire Dawa,Faith Chebet,+251727226295,contact@techhub.co.et,2022-03-04,30000,45,233,165430,0,Active,Beverages|Textiles
CLT-054,Electronics Hub Tanzania,NGO,Electronics,Tanzania,Dar es Salaam,Rose Kayitesi,+255700882216,contact@techhub.co.tz,2021-10-18,50000,45,555,818070,0,Active,Beverages|Industrial|Automotive
CLT-055,Supermart Tanzania,Retail,Pharmaceuticals,Tanzania,Mbeya,Rose Khamis,+255744440977,contact@techhub.co.tz,2023-08-18,30000,15,201,145725,0,Active,Pharmaceuticals
CLT-056,Retail Solutions Ethiopia,E-commerce,Pharmaceuticals,Ethiopia,Mekele,Ruth Nakato,+251709082067,contact@techhub.co.et,2019-11-27,100000,15,516,1481436,0,Active,FMCG
CLT-057,Construction Supplies Kenya,Manufacturing,Automotive,Kenya,Eldoret,Meseret Hamisi,+254757318164,contact@techhub.co.ke,2022-11-23,150000,45,587,797733,0,Active,Electronics|FMCG|Telecommunications
CLT-058,PharmaCare Tanzania,Wholesale,Telecommunications,Tanzania,Arusha,Hassan Mwangi,+255715865493,contact@techhub.co.tz,2022-06-30,30000,60,582,1477116,0,Active,Industrial
CLT-059,Retail Solutions Kenya,NGO,Automotive,Kenya,Kisumu,Sarah Khamis,+254740303435,contact@techhub.co.ke,2023-10-03,150000,45,473,324478,0,Active,Agricultural|Electronics|Industrial
CLT-060,Supermart Kenya,Healthcare,Electronics,Kenya,Mombasa,Marie Korir,+254784181424,contact@techhub.co.ke,2020-11-13,100000,45,229,296326,0,Active,Beverages|Industrial
CLT-061,Trade Partners Rwanda,NGO,Textiles,Rwanda,Gisenyi,Sarah Korir,+250737642707,contact@techhub.co.rw,2023-03-01,30000,45,373,1034702,0,Inactive,Industrial
CLT-062,AgriExport Uganda,E-commerce,Automotive,Uganda,Gulu,Mary Habimana,+256731895802,contact@techhub.co.ug,2023-09-22,75000,60,241,707817,0,Active,Construction|Electronics
CLT-063,Telecom Solutions Kenya,Wholesale,FMCG,Kenya,Nairobi,Marie Mukamana,+254720679969,contact@techhub.co.ke,2021-12-11,50000,45,433,282749,14137,Active,Beverages
CLT-064,Electronics Hub Uganda,NGO,Construction,Uganda,Gulu,Meseret Uwase,+256715547243,contact@techhub.co.ug,2021-12-08,30000,45,196,176792,8839,Active,Pharmaceuticals|Agricultural|Electronics
CLT-065,Agricultural Traders Uganda,Manufacturing,Telecommunications,Uganda,Entebbe,Eric Mwinyi,+256725843038,contact@techhub.co.ug,2022-05-02,75000,45,97,89434,0,Active,Textiles|Electronics|Industrial
CLT-066,AutoParts Plus Rwanda,Manufacturing,Pharmaceuticals,Rwanda,Cyangugu,Samuel Nsengimana,+250742746321,contact@techhub.co.rw,2022-10-06,75000,30,211,341820,0,Active,Telecommunications|Industrial|FMCG
CLT-067,TechHub Rwanda,Wholesale,FMCG,Rwanda,Ruhengeri,Tigist Ochieng,+250714217270,contact@techhub.co.rw,2022-03-21,100000,15,368,694416,0,Active,Pharmaceuticals
CLT-068,HealthCare Solutions Kenya,E-commerce,Telecommunications,Kenya,Nakuru,Paul Chebet,+254712470997,contact@techhub.co.ke,2022-12-14,100000,15,414,736506,0,Active,Telecommunications
CLT-069,BuildMart Uganda,Healthcare,Agriculture,Uganda,Jinja,Eric Ssemakula,+256765432046,contact@techhub.co.ug,2022-12-25,30000,15,279,303552,15177,Active,Textiles|Construction|Automotive
CLT-070,Retail Solutions Kenya,Manufacturing,Construction,Kenya,Eldoret,Catherine Wasswa,+254779260394,contact@techhub.co.ke,2021-08-02,100000,30,180,464400,0,Active,FMCG|Construction|Industrial
CLT-071,Industrial Suppliers Tanzania,Retail,Construction,Tanzania,Mwanza,Fatuma Bekele,+255789872888,contact@techhub.co.tz,2021-09-14,30000,60,263,767960,0,Active,Industrial|Construction
CLT-072,Export Corp Tanzania,Retail,Telecommunications,Tanzania,Mbeya,Sara Nakato,+255743943990,contact@techhub.co.tz,2020-10-28,100000,15,230,405030,40503,Active,Industrial
CLT-073,AutoParts Plus Rwanda,NGO,Electronics,Rwanda,Butare,Tigist Okello,+250740229795,contact@techhub.co.rw,2023-12-23,150000,45,200,222200,0,Active,Automotive|Beverages
CLT-074,Industrial Suppliers Ethiopia,Retail,Electronics,Ethiopia,Addis Ababa,James Worku,+251775165988,contact@techhub.co.et,2023-01-10,75000,15,572,1232660,61633,Active,Electronics|Construction
CLT-075,BuildMart Rwanda,Government,Automotive,Rwanda,Ruhengeri,Joseph Mwinyi,+250774547422,contact@techhub.co.rw,2020-04-26,100000,45,375,775125,0,Active,Telecommunications|Agricultural
CLT-076,HealthCare Solutions Kenya,Wholesale,Electronics,Kenya,Mombasa,Getachew Babirye,+254761207129,contact@techhub.co.ke,2023-11-23,150000,60,123,69372,0,Active,Automotive|Pharmaceuticals
CLT-077,Beverage Distributors Tanzania,NGO,Telecommunications,Tanzania,Dodoma,Dawit Bakari,+255795580470,contact@techhub.co.tz,2021-05-18,150000,45,443,866065,0,Active,Industrial|Electronics
CLT-078,Electronics Hub Tanzania,Retail,Telecommunications,Tanzania,Mbeya,Mary Uwase,+255781882291,contact@techhub.co.tz,2021-01-21,30000,30,427,411201,0,Active,FMCG|Pharmaceuticals|Textiles
CLT-079,Electronics Hub Uganda,Government,Textiles,Uganda,Mbarara,Marie Mukamazimpaka,+256798490921,contact@techhub.co.ug,2022-10-01,75000,60,104,198328,0,Active,Beverages
CLT-080,Retail Solutions Ethiopia,Wholesale,Electronics,Ethiopia,Bahir Dar,John Hamisi,+251765063411,contact@techhub.co.et,2020-08-26,30000,30,361,1013688,0,Active,Beverages|Pharmaceuticals|Electronics
