maintenance_id,asset_id,maintenance_date,maintenance_type,service_provider,location,odometer_reading,description,parts_replaced,labor_hours,parts_cost_usd,labor_cost_usd,total_cost_usd,next_service_km,performed_by,downtime_hours
MNT-0031,AST-006,2025-01-28,Repair,Auto Services Rwanda,Kigali,20020,"Repair - Alternator, Suspension parts",Alternator|Suspension parts,4,496.19,124.51,620.71,32943,Joseph Uwase,8
MNT-0032,AST-007,2024-02-12,Repair,Auto Services Tanzania,Dodoma,84132,"Repair - Brake pads, Suspension parts",Brake pads|Suspension parts,7,234.49,240.83,475.31,95723,Hassan Worku,9
MNT-0033,AST-007,2024-02-10,Routine Service,Auto Services Tanzania,Dodoma,59568,"Routine Service - Engine oil filter, Spark plugs",Engine oil filter|Spark plugs|Air filter,3,97.68,95.96,193.64,70675,Marie Babirye,6
MNT-0034,AST-007,2024-11-16,Routine Service,Auto Services Tanzania,Dodoma,91129,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter,2,141.69,88.18,229.88,105859,Marie Khamis,6
MNT-0035,AST-007,2024-06-01,Routine Service,Auto Services Tanzania,Dodoma,65263,"Routine Service - Air filter, Spark plugs",Air filter|Spark plugs|Oil,2,106.2,71.22,177.42,78073,Ahmed Kamau,4
MNT-0036,AST-007,2024-10-16,Routine Service,Auto Services Tanzania,Dodoma,78381,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter|Air filter,2,85.75,79.41,165.16,88953,John Mukasa,4
MNT-0037,AST-007,2024-02-22,Repair,Auto Services Tanzania,Dodoma,88776,"Repair - Suspension parts, Battery",Suspension parts|Battery|Alternator,5,567.32,191.41,758.73,100929,Daniel Tesfaye,6
MNT-0038,AST-007,2024-01-30,Emergency Repair,Auto Services Tanzania,Dodoma,56350,Emergency Repair - Radiator hose,Radiator hose,11,781.01,499.51,1280.52,68826,Jean Bakari,14
MNT-0039,AST-008,2024-06-05,Routine Service,Auto Services Uganda,Entebbe,78661,"Routine Service - Spark plugs, Engine oil filter",Spark plugs|Engine oil filter|Oil,5,112.83,160.32,273.15,92384,Mulugeta Tadesse,9
MNT-0040,AST-008,2024-03-22,Routine Service,Auto Services Uganda,Entebbe,97933,"Routine Service - Air filter, Spark plugs",Air filter|Spark plugs,2,84.53,76.17,160.7,112800,Yusuf Uwimana,6
MNT-0041,AST-008,2024-06-19,Routine Service,Auto Services Uganda,Entebbe,77463,"Routine Service - Fuel filter, Oil",Fuel filter|Oil|Air filter,3,86.92,124.76,211.68,88079,Almaz Abebe,5
MNT-0042,AST-008,2024-01-06,Routine Service,Auto Services Uganda,Entebbe,75692,"Routine Service - Fuel filter, Spark plugs",Fuel filter|Spark plugs,3,199.78,133.38,333.16,86819,Sara Khamis,5
MNT-0043,AST-008,2024-10-04,Routine Service,Auto Services Uganda,Entebbe,99255,"Routine Service - Oil, Fuel filter",Oil|Fuel filter,3,85.87,97.68,183.56,110064,Samuel Nsubuga,4
MNT-0044,AST-008,2024-07-03,Routine Service,Auto Services Uganda,Entebbe,85976,"Routine Service - Spark plugs, Oil",Spark plugs|Oil,3,93.35,127.64,221.0,98459,Claude Nakato,5
MNT-0045,AST-008,2024-12-02,Emergency Repair,Auto Services Uganda,Entebbe,74851,"Emergency Repair - Starter motor, Fuel pump",Starter motor|Fuel pump,8,710.17,284.01,994.18,88480,Fatuma Wanjiru,9
MNT-0046,AST-009,2024-02-07,Repair,Auto Services Tanzania,Dar es Salaam,41451,"Repair - Suspension parts, Battery",Suspension parts|Battery|Brake pads,4,571.39,185.7,757.09,52791,Emmanuel Omari,8
MNT-0047,AST-009,2024-03-04,Repair,Auto Services Tanzania,Dar es Salaam,62522,"Repair - Radiator, Alternator",Radiator|Alternator|Brake pads,7,462.63,341.35,803.98,73758,Sarah Bakari,8
MNT-0048,AST-009,2024-08-30,Routine Service,Auto Services Tanzania,Dar es Salaam,31138,"Routine Service - Engine oil filter, Air filter",Engine oil filter|Air filter|Spark plugs|Oil,5,149.58,181.4,330.98,41745,Emmanuel Wasswa,8
MNT-0049,AST-009,2024-11-29,Routine Service,Auto Services Tanzania,Dar es Salaam,65996,"Routine Service - Oil, Fuel filter",Oil|Fuel filter|Spark plugs|Engine oil filter,2,155.11,73.39,228.5,79624,Joshua Alemu,3
MNT-0050,AST-009,2024-07-29,Emergency Repair,Auto Services Tanzania,Dar es Salaam,44059,"Emergency Repair - Radiator hose, Starter motor",Radiator hose|Starter motor,11,290.98,338.51,629.49,56551,Eric Nakato,12
MNT-0051,AST-009,2024-09-16,Routine Service,Auto Services Tanzania,Dar es Salaam,28499,"Routine Service - Air filter, Fuel filter",Air filter|Fuel filter|Spark plugs,2,119.82,80.69,200.51,39715,Joshua Hamisi,4
MNT-0052,AST-009,2025-01-02,Routine Service,Auto Services Tanzania,Dar es Salaam,30236,"Routine Service - Air filter, Fuel filter",Air filter|Fuel filter,5,115.78,153.25,269.03,42376,Grace Uwimana,6
MNT-0053,AST-010,2024-03-30,Routine Service,Auto Services Tanzania,Arusha,191842,"Routine Service - Engine oil filter, Spark plugs",Engine oil filter|Spark plugs,2,88.18,61.84,150.01,204537,Rose Nakato,5
MNT-0054,AST-010,2024-09-07,Routine Service,Auto Services Tanzania,Arusha,194470,"Routine Service - Fuel filter, Spark plugs",Fuel filter|Spark plugs|Air filter|Engine oil filter,4,198.13,167.96,366.09,206021,Rose Mukasa,8
MNT-0055,AST-010,2024-08-10,Emergency Repair,Auto Services Tanzania,Arusha,182791,"Emergency Repair - Water pump, Starter motor",Water pump|Starter motor,6,322.91,221.72,544.62,194590,James Uwimana,10
MNT-0056,AST-010,2024-12-08,Routine Service,Auto Services Tanzania,Arusha,181011,"Routine Service - Oil, Fuel filter",Oil|Fuel filter,3,185.45,90.69,276.14,191125,Fatuma Desta,4
MNT-0057,AST-010,2025-01-21,Repair,Auto Services Tanzania,Arusha,180849,Repair - Brake pads,Brake pads,8,215.15,376.52,591.67,193499,Mulugeta Okello,9
MNT-0058,AST-010,2024-10-13,Repair,Auto Services Tanzania,Arusha,183257,"Repair - Radiator, Battery",Radiator|Battery|Alternator,6,520.84,276.16,797.0,194732,Grace Hamisi,10
MNT-0059,AST-011,2024-08-18,Routine Service,Auto Services Kenya,Nakuru,135841,"Routine Service - Spark plugs, Fuel filter",Spark plugs|Fuel filter,3,149.99,91.35,241.34,149200,Mulugeta Kato,5
MNT-0060,AST-011,2024-05-09,Routine Service,Auto Services Kenya,Nakuru,135805,"Routine Service - Engine oil filter, Air filter",Engine oil filter|Air filter,3,138.63,129.09,267.72,149274,Eric Desta,7
MNT-0061,AST-011,2024-12-26,Routine Service,Auto Services Kenya,Nakuru,137350,"Routine Service - Engine oil filter, Spark plugs",Engine oil filter|Spark plugs|Oil,3,111.98,133.5,245.47,150905,Eric Hassan,6
MNT-0062,AST-011,2025-01-01,Repair,Auto Services Kenya,Nakuru,158723,Repair - Suspension parts,Suspension parts,10,213.81,435.83,649.64,169702,Halima Ali,14
MNT-0063,AST-011,2024-04-11,Repair,Auto Services Kenya,Nakuru,144863,"Repair - Radiator, Brake pads",Radiator|Brake pads,4,309.65,122.44,432.08,159282,Marie Wanjiru,7
MNT-0064,AST-011,2025-02-17,Repair,Auto Services Kenya,Nakuru,154623,"Repair - Battery, Suspension parts",Battery|Suspension parts|Radiator,4,405.62,163.3,568.92,166852,Fatuma Omari,8
MNT-0065,AST-012,2024-10-23,Routine Service,Auto Services Tanzania,Mbeya,-7704,"Routine Service - Engine oil filter, Fuel filter",Engine oil filter|Fuel filter|Oil,4,86.6,189.51,276.12,4741,Halima Uwimana,5
MNT-0066,AST-012,2024-05-13,Repair,Auto Services Tanzania,Mbeya,21872,Repair - Alternator,Alternator,6,518.74,207.24,725.98,31918,Rebecca Mugisha,7
MNT-0067,AST-012,2024-06-04,Routine Service,Auto Services Tanzania,Mbeya,1598,"Routine Service - Engine oil filter, Oil",Engine oil filter|Oil|Spark plugs|Air filter,5,90.32,205.66,295.98,14921,Innocent Kayitesi,9
MNT-0068,AST-012,2024-03-18,Routine Service,Auto Services Tanzania,Mbeya,-52,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter|Air filter|Fuel filter,4,96.03,122.63,218.66,13105,Joshua Wanjiru,6
MNT-0069,AST-012,2024-10-29,Repair,Auto Services Tanzania,Mbeya,23990,"Repair - Radiator, Suspension parts",Radiator|Suspension parts|Alternator,10,411.75,334.39,746.14,36117,Hassan Haile,14
MNT-0070,AST-013,2024-01-25,Routine Service,Auto Services Uganda,Jinja,222398,"Routine Service - Air filter, Engine oil filter",Air filter|Engine oil filter|Spark plugs,2,100.74,69.59,170.33,234520,Catherine Hassan,6
MNT-0071,AST-013,2024-03-17,Routine Service,Auto Services Uganda,Jinja,221468,"Routine Service - Spark plugs, Air filter",Spark plugs|Air filter|Oil|Engine oil filter,3,114.57,109.28,223.85,235932,Marie Wasswa,5
MNT-0072,AST-013,2024-01-29,Routine Service,Auto Services Uganda,Jinja,195314,"Routine Service - Engine oil filter, Oil",Engine oil filter|Oil|Fuel filter|Spark plugs,3,172.33,148.52,320.85,206990,Solomon Mugisha,5
MNT-0073,AST-013,2024-06-12,Routine Service,Auto Services Uganda,Jinja,211232,"Routine Service - Spark plugs, Oil",Spark plugs|Oil|Fuel filter,4,143.06,176.1,319.16,222446,Ahmed Ali,6
MNT-0074,AST-013,2024-04-26,Repair,Auto Services Uganda,Jinja,203876,Repair - Radiator,Radiator,9,391.69,276.79,668.47,215269,Jean Ali,11
MNT-0075,AST-013,2024-05-06,Routine Service,Auto Services Uganda,Jinja,201276,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter|Spark plugs|Fuel filter,5,82.24,214.94,297.18,215935,Meseret Wanjiru,8
MNT-0076,AST-013,2024-12-17,Routine Service,Auto Services Uganda,Jinja,233147,"Routine Service - Spark plugs, Fuel filter",Spark plugs|Fuel filter,4,121.59,167.09,288.67,246785,Rose Akinyi,8
MNT-0077,AST-013,2024-01-21,Emergency Repair,Auto Services Uganda,Jinja,224532,Emergency Repair - Fan belt,Fan belt,11,407.42,514.66,922.08,234833,Sara Mukamazimpaka,12
MNT-0078,AST-014,2024-10-06,Routine Service,Auto Services Ethiopia,Bahir Dar,193291,"Routine Service - Oil, Fuel filter",Oil|Fuel filter|Air filter|Spark plugs,4,157.14,155.87,313.0,207402,Mulugeta Uwase,7
MNT-0079,AST-014,2024-08-01,Routine Service,Auto Services Ethiopia,Bahir Dar,167655,"Routine Service - Spark plugs, Engine oil filter",Spark plugs|Engine oil filter|Air filter,4,196.8,191.97,388.78,179783,Emmanuel Wasswa,7
MNT-0080,AST-014,2024-01-06,Routine Service,Auto Services Ethiopia,Bahir Dar,192187,"Routine Service - Oil, Fuel filter",Oil|Fuel filter|Air filter|Spark plugs,2,124.99,76.57,201.56,202665,Francis Habimana,3
MNT-0081,AST-014,2024-12-24,Routine Service,Auto Services Ethiopia,Bahir Dar,196109,"Routine Service - Air filter, Spark plugs",Air filter|Spark plugs|Fuel filter,2,163.72,93.99,257.71,210629,Rebecca Bekele,6
MNT-0082,AST-014,2024-05-14,Routine Service,Auto Services Ethiopia,Bahir Dar,177317,"Routine Service - Fuel filter, Spark plugs",Fuel filter|Spark plugs,3,167.29,112.87,280.16,187470,David Musoke,4
MNT-0083,AST-014,2024-08-20,Routine Service,Auto Services Ethiopia,Bahir Dar,189563,"Routine Service - Air filter, Oil",Air filter|Oil|Fuel filter|Spark plugs,2,93.93,71.04,164.96,201484,Marie Kato,4
MNT-0084,AST-014,2024-07-31,Repair,Auto Services Ethiopia,Bahir Dar,170489,Repair - Radiator,Radiator,10,378.2,471.86,850.06,182055,Christine Uwimana,13
MNT-0085,AST-014,2024-07-28,Repair,Auto Services Ethiopia,Bahir Dar,193311,"Repair - Radiator, Battery",Radiator|Battery|Brake pads,9,229.47,290.73,520.19,204407,Zainab Uwase,10
MNT-0086,AST-015,2024-09-20,Routine Service,Auto Services Uganda,Gulu,105667,"Routine Service - Oil, Air filter",Oil|Air filter|Engine oil filter,4,175.36,143.57,318.93,116445,Faith Hassan,5
MNT-0087,AST-015,2024-12-10,Routine Service,Auto Services Uganda,Gulu,98569,"Routine Service - Fuel filter, Engine oil filter",Fuel filter|Engine oil filter|Air filter|Oil,5,82.83,214.47,297.3,113019,Tigist Hamisi,7
MNT-0088,AST-015,2024-07-11,Routine Service,Auto Services Uganda,Gulu,94214,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter,3,189.34,102.21,291.55,105130,Mohammed Mwinyi,4
MNT-0089,AST-016,2024-07-04,Routine Service,Auto Services Uganda,Kampala,202694,"Routine Service - Oil, Spark plugs",Oil|Spark plugs|Air filter|Fuel filter,4,148.37,146.82,295.2,217437,Beatrice Nakato,7
MNT-0090,AST-016,2024-05-28,Repair,Auto Services Uganda,Kampala,232547,"Repair - Alternator, Battery",Alternator|Battery,9,442.99,395.32,838.32,247319,Ibrahim Uwimana,11
MNT-0091,AST-016,2024-05-14,Repair,Auto Services Uganda,Kampala,224144,"Repair - Radiator, Alternator",Radiator|Alternator|Suspension parts,10,215.32,442.55,657.87,238815,Yusuf Akinyi,13
MNT-0092,AST-016,2025-02-25,Routine Service,Auto Services Uganda,Kampala,218472,"Routine Service - Oil, Spark plugs",Oil|Spark plugs|Fuel filter,4,151.32,190.67,341.99,230028,Faith Juma,5
MNT-0093,AST-016,2025-02-23,Routine Service,Auto Services Uganda,Kampala,235084,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter|Fuel filter|Air filter,3,143.65,136.05,279.7,245420,Hassan Niyonzima,7
MNT-0094,AST-016,2024-05-31,Repair,Auto Services Uganda,Kampala,210219,"Repair - Radiator, Alternator",Radiator|Alternator,10,454.17,415.71,869.88,222369,Rebecca Nsubuga,12
MNT-0095,AST-016,2024-11-09,Routine Service,Auto Services Uganda,Kampala,236184,"Routine Service - Engine oil filter, Air filter",Engine oil filter|Air filter|Spark plugs|Oil,3,164.43,93.69,258.13,250242,Ruth Ochieng,6
MNT-0096,AST-016,2024-03-27,Emergency Repair,Auto Services Uganda,Kampala,236466,"Emergency Repair - Water pump, Fuel pump",Water pump|Fuel pump,5,591.97,169.49,761.46,248494,Fatuma Mukamana,9
MNT-0097,AST-017,2024-06-05,Routine Service,Auto Services Kenya,Kisumu,120054,"Routine Service - Spark plugs, Fuel filter",Spark plugs|Fuel filter,2,190.01,80.17,270.17,132740,Hanna Nalongo,3
MNT-0098,AST-017,2024-06-24,Emergency Repair,Auto Services Kenya,Kisumu,129066,Emergency Repair - Fuel pump,Fuel pump,7,756.76,275.97,1032.72,142933,Beatrice Wasswa,9
MNT-0099,AST-017,2024-05-18,Routine Service,Auto Services Kenya,Kisumu,101422,"Routine Service - Engine oil filter, Fuel filter",Engine oil filter|Fuel filter,2,169.86,71.55,241.41,115828,Getachew Mukasa,4
MNT-0100,AST-017,2024-05-13,Emergency Repair,Auto Services Kenya,Kisumu,137448,"Emergency Repair - Water pump, Fan belt",Water pump|Fan belt,10,401.14,310.25,711.38,149753,Solomon Korir,14
MNT-0101,AST-017,2024-08-23,Repair,Auto Services Kenya,Kisumu,116913,"Repair - Brake pads, Alternator",Brake pads|Alternator,6,299.46,238.53,537.99,128761,Joshua Uwase,8
MNT-0102,AST-017,2024-07-11,Routine Service,Auto Services Kenya,Kisumu,128154,"Routine Service - Air filter, Oil",Air filter|Oil,2,108.46,98.67,207.14,142920,Rebecca Rashid,6
MNT-0103,AST-018,2024-09-19,Routine Service,Auto Services Kenya,Eldoret,167738,"Routine Service - Engine oil filter, Oil",Engine oil filter|Oil|Spark plugs|Fuel filter,2,195.71,63.64,259.34,180350,James Kato,5
MNT-0104,AST-018,2024-02-12,Repair,Auto Services Kenya,Eldoret,165509,Repair - Alternator,Alternator,4,399.22,196.09,595.32,180469,Moses Ochieng,5
MNT-0105,AST-018,2024-11-24,Emergency Repair,Auto Services Kenya,Eldoret,190687,"Emergency Repair - Starter motor, Water pump",Starter motor|Water pump,7,330.25,231.5,561.75,204458,Ruth Omari,11
MNT-0106,AST-018,2024-05-16,Repair,Auto Services Kenya,Eldoret,170461,"Repair - Battery, Alternator",Battery|Alternator|Radiator,6,261.65,234.11,495.76,183774,Mohammed Uwimana,7
MNT-0107,AST-018,2024-02-05,Repair,Auto Services Kenya,Eldoret,169249,Repair - Brake pads,Brake pads,5,485.8,156.76,642.57,183340,Mary Nakato,8
MNT-0108,AST-018,2024-04-26,Routine Service,Auto Services Kenya,Eldoret,207076,"Routine Service - Engine oil filter, Air filter",Engine oil filter|Air filter,3,158.22,148.41,306.63,217087,Halima Musoke,7
MNT-0109,AST-018,2025-01-24,Emergency Repair,Auto Services Kenya,Eldoret,183903,"Emergency Repair - Fuel pump, Water pump",Fuel pump|Water pump,8,629.26,304.55,933.81,194458,Dawit Salim,10
MNT-0110,AST-019,2024-09-06,Routine Service,Auto Services Kenya,Kisumu,115034,"Routine Service - Spark plugs, Fuel filter",Spark plugs|Fuel filter|Engine oil filter,4,192.17,122.76,314.92,125309,Elizabeth Babirye,7
MNT-0111,AST-019,2024-08-02,Routine Service,Auto Services Kenya,Kisumu,128634,"Routine Service - Spark plugs, Air filter",Spark plugs|Air filter|Fuel filter,4,127.46,183.39,310.85,142747,Dawit Haile,6
MNT-0112,AST-019,2025-02-21,Routine Service,Auto Services Kenya,Kisumu,108251,"Routine Service - Fuel filter, Air filter",Fuel filter|Air filter|Engine oil filter|Oil,2,188.77,84.52,273.29,120309,Rebecca Bekele,5
MNT-0113,AST-019,2025-02-14,Routine Service,Auto Services Kenya,Kisumu,135310,"Routine Service - Oil, Spark plugs",Oil|Spark plugs,3,133.96,139.54,273.51,145388,John Kato,5
MNT-0114,AST-019,2024-12-16,Routine Service,Auto Services Kenya,Kisumu,102908,"Routine Service - Spark plugs, Oil",Spark plugs|Oil|Fuel filter,2,171.56,86.3,257.87,114958,Joshua Uwimana,6
MNT-0115,AST-019,2024-07-01,Routine Service,Auto Services Kenya,Kisumu,105656,"Routine Service - Oil, Air filter",Oil|Air filter|Engine oil filter,2,164.41,66.9,231.31,120320,Francis Uwase,6
MNT-0116,AST-019,2024-10-05,Routine Service,Auto Services Kenya,Kisumu,97297,"Routine Service - Air filter, Spark plugs",Air filter|Spark plugs|Fuel filter|Engine oil filter,3,147.0,142.1,289.09,108224,Aisha Kamau,5
MNT-0117,AST-019,2024-07-06,Routine Service,Auto Services Kenya,Kisumu,99874,"Routine Service - Air filter, Oil",Air filter|Oil,4,85.77,180.81,266.58,112932,Ibrahim Mukamana,5
MNT-0118,AST-020,2025-01-06,Routine Service,Auto Services Rwanda,Ruhengeri,125459,"Routine Service - Air filter, Spark plugs",Air filter|Spark plugs|Fuel filter,2,94.43,81.95,176.38,139182,Tigist Habimana,5
MNT-0119,AST-020,2025-02-08,Routine Service,Auto Services Rwanda,Ruhengeri,142956,"Routine Service - Air filter, Oil",Air filter|Oil,2,138.03,87.01,225.04,154740,Ibrahim Bekele,5
MNT-0120,AST-020,2024-10-29,Routine Service,Auto Services Rwanda,Ruhengeri,121594,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter,3,179.27,100.25,279.52,131694,Meseret Tesfaye,6
MNT-0121,AST-020,2025-01-26,Routine Service,Auto Services Rwanda,Ruhengeri,152081,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter,5,146.43,245.74,392.17,166194,Grace Kimani,7
MNT-0122,AST-020,2024-07-19,Routine Service,Auto Services Rwanda,Ruhengeri,122787,"Routine Service - Engine oil filter, Air filter",Engine oil filter|Air filter|Spark plugs|Oil,3,110.85,113.58,224.43,136200,Fatuma Kato,7
MNT-0123,AST-020,2024-04-15,Routine Service,Auto Services Rwanda,Ruhengeri,126902,"Routine Service - Oil, Fuel filter",Oil|Fuel filter,2,100.21,72.91,173.12,138583,Faith Wanjiru,4
MNT-0124,AST-020,2024-05-04,Routine Service,Auto Services Rwanda,Ruhengeri,127212,"Routine Service - Engine oil filter, Oil",Engine oil filter|Oil,2,83.4,99.72,183.12,140286,Rose Ali,6
MNT-0125,AST-020,2024-10-04,Repair,Auto Services Rwanda,Ruhengeri,139060,Repair - Battery,Battery,8,240.65,372.71,613.36,149990,Joshua Wanjiru,12
MNT-0126,AST-021,2024-06-14,Routine Service,Auto Services Rwanda,Kigali,97292,"Routine Service - Air filter, Fuel filter",Air filter|Fuel filter|Oil,4,160.06,163.85,323.91,112257,David Uwase,5
MNT-0127,AST-021,2024-12-20,Routine Service,Auto Services Rwanda,Kigali,97949,"Routine Service - Oil, Engine oil filter",Oil|Engine oil filter|Spark plugs|Fuel filter,3,88.92,123.33,212.24,111607,Zainab Akinyi,7
MNT-0128,AST-021,2024-07-17,Repair,Auto Services Rwanda,Kigali,78927,"Repair - Alternator, Suspension parts",Alternator|Suspension parts,10,589.0,342.67,931.67,89065,John Mwinyi,11
MNT-0129,AST-021,2024-05-25,Emergency Repair,Auto Services Rwanda,Kigali,99744,"Emergency Repair - Water pump, Starter motor",Water pump|Starter motor,12,374.23,496.19,870.42,114279,Eric Salim,16
MNT-0130,AST-021,2024-04-11,Routine Service,Auto Services Rwanda,Kigali,82900,"Routine Service - Air filter, Fuel filter",Air filter|Fuel filter,2,88.92,91.62,180.55,95954,Almaz Uwimana,6
MNT-0131,AST-021,2024-07-20,Repair,Auto Services Rwanda,Kigali,93432,Repair - Battery,Battery,9,234.46,326.5,560.95,105190,David Abebe,10
