trip_id,asset_id,driver_id,trip_date,origin_country,origin_city,destination_country,destination_city,product_type,product_description,quantity_kg,quantity_units,client_name,client_type,planned_departure,actual_departure,planned_arrival,actual_arrival,distance_km,fuel_consumed_liters,trip_status,revenue_usd,trip_cost_usd,delay_hours,delay_reason
TRP-0035,AST-015,DRV-116,2025-02-11,Uganda,Mbarara,Kenya,Nakuru,Beverages,Soft drinks,4113,85,FoodDistributors Uganda,Manufacturing,2025-02-11 06:30:24,2025-02-11 06:23:24,2025-02-12 01:40:36,2025-02-12 01:56:25,1113,201.9,Completed,740.34,625.56,0,None
TRP-0036,AST-019,DRV-071,2025-02-21,Kenya,Mombasa,Kenya,Kisumu,Pharmaceuticals,Prescription medications,2883,920,HealthCare Solutions Rwanda,Healthcare,2025-02-21 04:45:04,2025-02-21 05:18:04,2025-02-21 09:15:52,2025-02-21 10:16:41,279,54.8,Completed,3459.6,165.56,1.0,Security checkpoint
TRP-0037,AST-114,DRV-015,2024-02-03,Uganda,Kampala,Tanzania,Mbeya,Agricultural,Tea leaves,3850,109,Beverage Distributors Kenya,E-commerce,2024-02-03 06:30:57,2024-02-03 06:37:57,2024-02-03 20:55:01,2024-02-03 21:01:47,698,121.2,Completed,577.5,471.78,0,None
TRP-0038,AST-042,DRV-053,2025-01-25,Tanzania,Mwanza,Uganda,Mbarara,Electronics,Smartphones and tablets,4497,1022,Retail Solutions Kenya,NGO,2025-01-25 07:00:32,2025-01-25 06:56:32,2025-01-25 21:44:31,2025-01-25 21:45:22,779,138.8,Completed,1573.95,480.97,0,None
TRP-0039,AST-077,DRV-018,2024-08-26,Tanzania,Dodoma,Rwanda,Cyangugu,Electronics,Smartphones and tablets,4609,286,AgriExport Uganda,E-commerce,2024-08-26 07:30:59,2024-08-26 07:58:59,2024-08-26 23:16:50,2024-08-26 23:45:56,980,173.7,Completed,1613.15,722.46,0,None
TRP-0040,AST-053,DRV-080,2025-02-14,Ethiopia,Mekele,Ethiopia,Gondar,FMCG,Snacks and confectionery,7800,224,Telecom Solutions Kenya,Healthcare,2025-02-14 07:45:07,2025-02-14 08:14:07,2025-02-14 14:47:43,2025-02-14 15:11:15,346,65.9,Completed,1950.0,203.8,0,None
TRP-0041,AST-113,DRV-076,2024-04-12,Rwanda,Ruhengeri,Rwanda,Ruhengeri,Beverages,Alcoholic beverages,1324,869,Beverage Distributors Rwanda,Healthcare,2024-04-12 08:45:42,2024-04-12 09:01:42,2024-04-12 10:59:10,2024-04-12 10:35:38,110,20.5,Completed,238.32,74.43,0,None
TRP-0042,AST-076,DRV-041,2024-03-09,Kenya,Nairobi,Ethiopia,Addis Ababa,Pharmaceuticals,Diagnostic supplies,1332,719,Industrial Suppliers Kenya,Manufacturing,2024-03-09 08:00:55,2024-03-09 08:33:55,2024-03-10 04:57:10,2024-03-10 04:56:42,1020,179.0,Completed,1598.4,638.11,0,None
TRP-0043,AST-084,DRV-133,2024-09-15,Tanzania,Mbeya,Tanzania,Dar es Salaam,Automotive,Vehicle parts and accessories,7601,694,FoodDistributors Ethiopia,Wholesale,2024-09-15 07:00:36,2024-09-15 06:47:36,2024-09-15 19:59:45,2024-09-15 19:47:56,653,107.8,Completed,2128.28,358.68,0,None
TRP-0044,AST-094,DRV-138,2025-01-01,Tanzania,Dar es Salaam,Tanzania,Dodoma,Telecommunications,SIM cards,4347,1087,FoodDistributors Tanzania,E-commerce,2025-01-01 06:45:57,2025-01-01 07:07:57,2025-01-01 17:40:37,2025-01-01 18:09:17,600,109.5,Completed,1738.8,317.71,0,None
TRP-0045,AST-090,DRV-027,2024-07-06,Rwanda,Cyangugu,Rwanda,Gisenyi,Automotive,Vehicle parts and accessories,4148,781,FoodDistributors Ethiopia,Wholesale,2024-07-06 04:15:07,2024-07-06 04:15:07,2024-07-06 15:21:18,2024-07-06 15:45:55,559,109.6,Completed,1161.44,347.05,0,None
TRP-0046,AST-037,DRV-101,2024-01-11,Kenya,Nakuru,Kenya,Nakuru,Industrial,Processing equipment,817,1011,Retail Solutions Kenya,Manufacturing,2024-01-11 06:45:11,2024-01-11 07:06:11,2024-01-11 08:14:11,2024-01-11 09:26:12,52,8.6,Completed,81.7,32.08,1.2,Loading delay at origin
TRP-0047,AST-082,DRV-047,2025-01-26,Kenya,Kisumu,Kenya,Nakuru,Agricultural,Grain and cereals,3655,1147,HealthCare Solutions Kenya,Wholesale,2025-01-26 06:00:44,2025-01-26 06:04:44,2025-01-26 14:04:51,2025-01-26 19:54:45,494,81.3,Completed,548.25,318.33,5.8,Client unavailable
TRP-0048,AST-066,DRV-021,2024-05-19,Tanzania,Mbeya,Tanzania,Mwanza,Construction,Cement and building materials,4263,664,BuildMart Uganda,Healthcare,2024-05-19 06:15:57,2024-05-19 06:26:57,2024-05-19 18:53:50,2024-05-19 19:04:08,752,129.2,Completed,511.56,509.18,0,None
TRP-0049,AST-112,DRV-057,2024-09-21,Tanzania,Mwanza,Tanzania,Dodoma,Textiles,Fashion accessories,9011,172,BuildMart Uganda,Healthcare,2024-09-21 06:45:30,2024-09-21 06:39:30,2024-09-21 14:09:52,2024-09-21 13:57:53,405,71.6,Completed,1982.42,281.57,0,None
TRP-0050,AST-089,DRV-007,2024-02-02,Kenya,Nakuru,Kenya,Kisumu,Pharmaceuticals,Surgical equipment,5086,533,Supermart Tanzania,Retail,2024-02-02 04:15:50,2024-02-02 04:12:50,2024-02-02 13:38:06,2024-02-02 13:35:57,444,76.0,Completed,6103.2,291.83,0,None
TRP-0051,AST-082,DRV-047,2024-01-19,Kenya,Mombasa,Kenya,Kisumu,Telecommunications,Network equipment,3383,1045,FoodDistributors Tanzania,E-commerce,2024-01-19 04:30:15,2024-01-19 04:53:15,2024-01-19 10:34:38,2024-01-19 10:29:04,256,46.2,Completed,1353.2,145.93,0,None
TRP-0052,AST-051,DRV-098,2025-01-05,Kenya,Eldoret,Tanzania,Mbeya,Industrial,Raw materials,6393,234,FoodDistributors Ethiopia,Wholesale,2025-01-05 06:30:03,2025-01-05 07:08:03,2025-01-05 17:32:02,2025-01-05 17:46:41,650,101.5,Completed,639.3,337.34,0,None
TRP-0053,AST-012,DRV-065,2024-04-19,Tanzania,Arusha,Kenya,Nakuru,Telecommunications,Cables and accessories,905,1167,Construction Supplies Kenya,Manufacturing,2024-04-19 05:30:45,2024-04-19 06:11:45,2024-04-20 07:38:45,2024-04-20 07:58:02,1372,272.7,Completed,362.0,984.13,0,None
TRP-0054,AST-114,DRV-015,2025-01-13,Uganda,Entebbe,Uganda,Gulu,Textiles,Footwear,2910,1145,Supermart Kenya,Government,2025-01-13 07:00:26,2025-01-13 07:43:26,2025-01-13 19:23:40,2025-01-13 19:11:43,653,102.0,Completed,640.2,380.24,0,None
TRP-0055,AST-118,DRV-147,2024-03-23,Uganda,Gulu,Rwanda,Kigali,Beverages,Juice products,1114,731,Retail Solutions Ethiopia,Wholesale,2024-03-23 04:15:40,2024-03-23 04:44:40,2024-03-24 03:05:02,2024-03-24 03:11:10,1265,203.4,Completed,200.52,783.23,0,None
TRP-0056,AST-033,DRV-015,2024-01-15,Uganda,Entebbe,Uganda,Entebbe,Electronics,Audio equipment,4955,675,Construction Supplies Kenya,Manufacturing,2024-01-15 04:00:48,2024-01-15 03:55:48,2024-01-15 07:12:14,2024-01-15 07:32:04,123,20.0,Completed,1734.25,82.88,0,None
TRP-0057,AST-042,DRV-053,2025-02-09,Tanzania,Mwanza,Tanzania,Mbeya,Construction,Plumbing supplies,2777,898,Telecom Solutions Uganda,Government,2025-02-09 07:45:44,2025-02-09 08:30:44,2025-02-09 13:53:15,2025-02-09 14:18:38,386,64.6,Completed,333.24,275.54,0,None
TRP-0058,AST-019,DRV-071,2024-08-24,Kenya,Mombasa,Kenya,Eldoret,Automotive,Motor oils and lubricants,2926,803,Global Supply Tanzania,Manufacturing,2024-08-24 04:00:07,2024-08-24 04:30:07,2024-08-24 16:41:25,2024-08-24 16:38:38,780,129.8,Completed,819.28,505.66,0,None
TRP-0059,AST-038,DRV-119,2024-04-07,Kenya,Nakuru,Kenya,Nakuru,Agricultural,Tea leaves,5650,437,Industrial Suppliers Kenya,Manufacturing,2024-04-07 07:15:31,2024-04-07 07:01:31,2024-04-07 10:26:53,2024-04-07 13:15:46,73,13.1,Completed,847.5,47.06,2.8,Loading delay at origin
TRP-0060,AST-098,DRV-044,2024-01-06,Kenya,Kisumu,Ethiopia,Dire Dawa,Automotive,Car electronics,4682,574,Global Supply Kenya,Wholesale,2024-01-06 08:00:17,2024-01-06 07:48:17,2024-01-06 19:47:00,2024-01-06 19:38:16,595,100.7,Completed,1310.96,415.05,0,None
TRP-0061,AST-019,DRV-071,2024-12-29,Kenya,Eldoret,Kenya,Kisumu,Automotive,Motor oils and lubricants,4853,134,Electronics Hub Tanzania,NGO,2024-12-29 06:15:25,2024-12-29 06:32:25,2024-12-29 14:00:35,2024-12-29 13:38:30,383,69.9,Completed,1358.84,220.82,0,None
TRP-0062,AST-038,DRV-119,2024-02-29,Kenya,Mombasa,Kenya,Kisumu,Construction,Electrical fittings,6265,589,MediSupply Tanzania,Government,2024-02-29 06:45:20,2024-02-29 07:27:20,2024-02-29 20:38:28,2024-02-29 20:54:17,729,139.5,Completed,751.8,517.61,0,None
TRP-0063,AST-037,DRV-101,2025-02-12,Kenya,Mombasa,Kenya,Mombasa,Electronics,Audio equipment,1110,1006,Electronics Hub Uganda,NGO,2025-02-12 07:00:10,2025-02-12 07:13:10,2025-02-12 10:01:46,2025-02-12 09:59:14,64,12.4,Completed,388.5,38.63,0,None
TRP-0064,AST-075,DRV-101,2024-06-27,Kenya,Kisumu,Kenya,Mombasa,Telecommunications,Cables and accessories,4871,484,BuildMart Rwanda,Government,2024-06-27 08:15:25,2024-06-27 08:26:25,2024-06-27 12:40:20,2024-06-27 12:15:59,204,37.1,Completed,1948.4,148.97,0,None
TRP-0065,AST-097,DRV-130,2024-03-03,Kenya,Nairobi,Uganda,Kampala,FMCG,Snacks and confectionery,5524,1032,FoodDistributors Ethiopia,Wholesale,2024-03-03 08:00:04,2024-03-03 08:06:04,2024-03-04 03:57:37,2024-03-04 03:47:07,951,156.0,Completed,1381.0,688.92,0,None
TRP-0066,AST-072,DRV-039,2024-10-18,Kenya,Nairobi,Rwanda,Gisenyi,Electronics,Smartphones and tablets,6144,239,AgriExport Uganda,E-commerce,2024-10-18 05:15:30,2024-10-18 05:49:30,2024-10-18 20:18:27,2024-10-18 19:58:14,922,149.5,Completed,2150.4,607.49,0,None
TRP-0067,AST-089,DRV-007,2024-11-30,Kenya,Nakuru,Rwanda,Cyangugu,Pharmaceuticals,Surgical equipment,3017,802,Electronics Hub Tanzania,Retail,2024-11-30 07:45:42,2024-11-30 08:26:42,2024-11-30 21:45:46,2024-11-30 21:41:09,809,131.9,Completed,3620.4,532.35,0,None
TRP-0068,AST-094,DRV-138,2024-08-10,Tanzania,Dar es Salaam,Tanzania,Dodoma,Agricultural,Tea leaves,3754,645,Export Corp Ethiopia,Government,2024-08-10 04:45:45,2024-08-10 04:49:45,2024-08-10 18:42:44,2024-08-10 18:30:45,647,120.4,Completed,563.1,427.62,0,None
TRP-0069,AST-053,DRV-080,2024-10-09,Ethiopia,Bahir Dar,Ethiopia,Gondar,Automotive,Vehicle parts and accessories,8175,568,Export Corp Ethiopia,Government,2024-10-09 08:00:11,2024-10-09 08:34:11,2024-10-09 15:00:19,2024-10-09 14:58:05,460,74.4,Completed,2289.0,250.32,0,None
TRP-0070,AST-109,DRV-047,2024-08-01,Kenya,Nakuru,Ethiopia,Bahir Dar,Textiles,Footwear,3386,482,Global Supply Tanzania,Manufacturing,2024-08-01 08:30:13,2024-08-01 09:10:13,2024-08-01 19:56:14,2024-08-02 00:52:14,560,106.5,Completed,744.92,388.54,4.9,Driver rest period
TRP-0071,AST-056,DRV-028,2024-12-02,Uganda,Jinja,Uganda,Mbarara,Construction,Electrical fittings,3311,306,Telecom Solutions Tanzania,E-commerce,2024-12-02 05:00:50,2024-12-02 05:37:50,2024-12-02 10:41:09,2024-12-02 11:44:59,214,35.8,Completed,397.32,132.83,1.1,Traffic congestion
TRP-0072,AST-018,DRV-029,2024-11-16,Kenya,Kisumu,Uganda,Gulu,Automotive,Vehicle parts and accessories,774,362,AutoParts Plus Rwanda,NGO,2024-11-16 07:45:33,2024-11-16 07:31:33,2024-11-17 05:24:50,2024-11-17 09:24:08,1311,234.6,Completed,216.72,725.27,4.0,Fuel shortage
TRP-0073,AST-053,DRV-080,2024-12-31,Ethiopia,Gondar,Uganda,Kampala,Beverages,Juice products,7724,1049,Fashion Retail Uganda,Healthcare,2024-12-31 08:00:15,2024-12-31 08:12:15,2024-12-31 16:20:30,2024-12-31 17:15:31,524,91.8,Completed,1390.32,379.35,0.9,Security checkpoint
TRP-0074,AST-078,DRV-132,2024-06-26,Uganda,Kampala,Uganda,Entebbe,Beverages,Alcoholic beverages,3806,1089,Fashion Retail Uganda,Healthcare,2024-06-26 08:45:22,2024-06-26 08:38:22,2024-06-26 19:28:23,2024-06-26 19:23:24,547,85.3,Completed,685.08,322.59,0,None
TRP-0075,AST-025,DRV-031,2024-08-29,Uganda,Jinja,Uganda,Kampala,Beverages,Bottled water,3407,370,Telecom Solutions Kenya,Wholesale,2024-08-29 04:45:57,2024-08-29 05:30:57,2024-08-29 16:11:18,2024-08-29 18:26:14,703,126.9,Completed,613.26,468.33,2.2,Traffic congestion
TRP-0076,AST-018,DRV-029,2024-03-30,Kenya,Nairobi,Kenya,Nairobi,Industrial,Industrial chemicals,1179,508,Trade Partners Rwanda,NGO,2024-03-30 06:30:51,2024-03-30 07:04:51,2024-03-30 09:40:54,2024-03-30 10:04:41,83,13.2,Completed,117.9,54.25,0,None
TRP-0077,AST-119,DRV-022,2024-02-23,Ethiopia,Gondar,Kenya,Nairobi,Industrial,Manufacturing machinery,3390,1088,AgriExport Rwanda,Retail,2024-02-23 04:15:08,2024-02-23 04:58:08,2024-02-23 16:43:48,2024-02-23 19:15:14,742,129.1,Completed,339.0,434.13,2.5,Loading delay at origin
TRP-0078,AST-096,DRV-005,2024-07-05,Rwanda,Kigali,Ethiopia,Gondar,Electronics,Laptops and computers,4065,637,Beverage Distributors Tanzania,NGO,2024-07-05 04:30:57,2024-07-05 04:38:57,2024-07-05 17:08:30,2024-07-05 16:47:36,750,122.3,Completed,1422.75,421.52,0,None
TRP-0079,AST-004,DRV-078,2025-02-14,Tanzania,Dodoma,Rwanda,Kigali,Beverages,Bottled water,1837,192,Telecom Solutions Kenya,Healthcare,2025-02-14 06:45:46,2025-02-14 07:19:46,2025-02-15 03:29:07,2025-02-15 03:01:21,1092,171.1,Completed,330.66,666.1,0,None
TRP-0080,AST-045,DRV-099,2024-11-19,Ethiopia,Gondar,Ethiopia,Bahir Dar,Textiles,Footwear,2844,622,BuildMart Uganda,Healthcare,2024-11-19 07:45:28,2024-11-19 08:11:28,2024-11-19 15:46:58,2024-11-19 15:54:04,350,61.8,Completed,625.68,242.39,0,None
TRP-0081,AST-031,DRV-013,2024-11-28,Rwanda,Gisenyi,Rwanda,Cyangugu,Construction,Electrical fittings,1109,1157,Electronics Hub Tanzania,NGO,2024-11-28 04:30:39,2024-11-28 04:48:39,2024-11-28 12:59:29,2024-11-28 15:04:37,418,71.9,Completed,133.08,286.89,2.1,Traffic congestion
TRP-0082,AST-014,DRV-099,2024-06-04,Ethiopia,Addis Ababa,Uganda,Jinja,Telecommunications,Cables and accessories,2649,305,AutoParts Plus Rwanda,Manufacturing,2024-06-04 08:00:30,2024-06-04 08:14:30,2024-06-05 02:48:27,2024-06-05 03:17:47,1010,172.7,Completed,1059.6,683.38,0,None
TRP-0083,AST-070,DRV-047,2024-09-30,Kenya,Kisumu,Kenya,Eldoret,Pharmaceuticals,Diagnostic supplies,5787,557,HealthCare Solutions Rwanda,Healthcare,2024-09-30 08:15:59,2024-09-30 08:52:59,2024-09-30 17:56:43,2024-10-01 04:34:22,535,104.4,Completed,6944.4,382.84,10.6,Driver rest period
TRP-0084,AST-063,DRV-133,2024-08-31,Tanzania,Arusha,Tanzania,Dodoma,Industrial,Processing equipment,1281,1071,Export Corp Tanzania,Retail,2024-08-31 07:45:12,2024-08-31 08:16:12,2024-08-31 19:26:54,2024-08-31 22:24:10,633,111.3,Completed,128.1,420.77,3.0,Vehicle maintenance issue
TRP-0085,AST-015,DRV-116,2024-09-27,Uganda,Gulu,Uganda,Entebbe,Telecommunications,Cables and accessories,6385,275,Telecom Solutions Tanzania,E-commerce,2024-09-27 08:30:54,2024-09-27 08:17:54,2024-09-27 17:34:45,2024-09-27 18:04:12,578,106.0,Completed,2554.0,407.46,0,None
