id,question,gold_answer,source_doc,source_keywords,difficulty,question_type,assertions
18,"What is the maximum hop count (diameter) supported by RIP, and what metric value represents infinity?","RIP is limited to networks whose longest path is 15 hops. A metric value of 16 represents infinity (unreachable). The protocol is considered inappropriate for networks with a diameter larger than 15.",RFC 2453,"15, 16, infinity, hops, diameter, maximum",easy,factual,"answer contains ""15""; answer contains ""16""; answer mentions ""infinity"""
19,"What are the four categories of BGP path attributes, and how are they handled?","1) Well-known mandatory — must be recognized by all implementations and included in every UPDATE with NLRI (e.g., ORIGIN, AS_PATH, NEXT_HOP). 2) Well-known discretionary — must be recognized but may or may not be sent (e.g., LOCAL_PREF, ATOMIC_AGGREGATE). 3) Optional transitive — may not be recognized by all implementations; if unrecognized, must be accepted, marked with the Partial bit, and passed along to other peers (e.g., AGGREGATOR). 4) Optional non-transitive — may not be recognized; if unrecognized, must be quietly ignored and NOT passed to other peers (e.g., MULTI_EXIT_DISC).",RFC 4271,"well-known mandatory, well-known discretionary, optional transitive, optional non-transitive, Partial bit",medium,conceptual,"answer lists all 4 categories; answer mentions Partial bit for transitive; answer mentions ""quietly ignored"" for non-transitive"
20,"What are the phases of the BGP Decision Process, and what does each phase do?","Phase 1 (Calculation of Degree of Preference): For each route received from a peer, the local BGP speaker calculates a degree of preference. For internal peers, it uses the LOCAL_PREF attribute or local policy. For external peers, it computes based on local policy. Phase 2 (Route Selection): The speaker selects the best route for each destination from all eligible routes in Adj-RIBs-In. Routes with unresolvable NEXT_HOPs or AS loops in AS_PATH are excluded. Ties are broken by: shortest AS_PATH, lowest ORIGIN, lowest MULTI_EXIT_DISC, EBGP over IBGP, lowest interior cost to NEXT_HOP, lowest BGP Identifier, lowest peer address. The selected route is installed in Loc-RIB. Phase 3 (Route Dissemination): Routes in Loc-RIB are processed into Adj-RIBs-Out according to policy, with optional aggregation and information reduction, for advertisement to peers.",RFC 4271,"Phase 1, Phase 2, Phase 3, degree of preference, route selection, route dissemination, Loc-RIB, Adj-RIBs-Out",hard,procedural,"answer mentions 3 phases; answer mentions degree of preference; answer mentions route selection; answer mentions route dissemination; answer mentions NEXT_HOP resolvability"
21,"What are the five states of a Neighbor Cache entry in IPv6 Neighbor Discovery, and what triggers transitions between them?","The five states are: INCOMPLETE — address resolution is in progress (multicast Neighbor Solicitation sent, no response yet). REACHABLE — positive confirmation of forward-path reachability received within the last ReachableTime. STALE — more than ReachableTime has passed since last confirmation; no action until traffic is sent. DELAY — traffic was sent to a STALE neighbor; wait DELAY_FIRST_PROBE_TIME seconds for upper-layer confirmation before probing. PROBE — unicast Neighbor Solicitations are being sent every RetransTimer milliseconds to verify reachability. Transitions: INCOMPLETE→REACHABLE (solicited NA received), REACHABLE→STALE (timeout), STALE→DELAY (packet sent), DELAY→PROBE (no confirmation within delay), PROBE→REACHABLE (confirmation received), PROBE→deleted (no response after MAX_UNICAST_SOLICIT probes).",RFC 4861,"INCOMPLETE, REACHABLE, STALE, DELAY, PROBE, ReachableTime, Neighbor Solicitation, Neighbor Advertisement",medium,conceptual,"answer lists all 5 states; answer mentions ReachableTime; answer mentions solicited NA triggers REACHABLE"
22,"What five ICMP message types does IPv6 Neighbor Discovery define?","Router Solicitation (Type 133), Router Advertisement (Type 134), Neighbor Solicitation (Type 135), Neighbor Advertisement (Type 136), and Redirect (Type 137).",RFC 4861,"Router Solicitation, Router Advertisement, Neighbor Solicitation, Neighbor Advertisement, Redirect, 133, 134, 135, 136, 137",easy,factual,"answer lists all 5 types; answer includes correct ICMP type numbers"
23,"What is the difference between recursive and iterative DNS queries?","In a recursive query, the name server pursues the query for the client by querying other servers and returns either the final answer or an error — never a referral. The client gets a simple answer. In an iterative query, the server either answers from its own data or refers the client to another name server that is ""closer"" to the desired information, and the client pursues the query itself. The DNS requires implementation of the iterative approach but allows recursive as an option. Two bits negotiate this: RD (Recursion Desired) in the query, and RA (Recursion Available) in responses. Recursive mode is used when both RD is set in the query and RA is set in the response.",RFC 1034,"recursive, iterative, referral, RD, RA, recursion desired, recursion available",medium,conceptual,"answer mentions ""referral"" for iterative; answer mentions RD and RA bits; answer mentions recursive is optional"
24,"What are the main components of the DNS, as described in RFC 1034?","The DNS has three major components: (1) The Domain Name Space and Resource Records — specifications for a tree-structured name space and data associated with names. (2) Name Servers — server programs that hold information about the domain tree's structure and provide authoritative data for zones. (3) Resolvers — programs that extract information from name servers in response to client requests, typically accessible as system routines.",RFC 1034,"domain name space, resource records, name servers, resolvers, three components",easy,factual,"answer mentions all 3 components; answer mentions ""tree"" structure; answer mentions ""resolvers"""
25,"How do TCP and UDP differ in terms of reliability, connection model, and header overhead?","Reliability: TCP provides reliable delivery using sequence numbers, acknowledgments, retransmission timers, and checksums. It recovers from lost, damaged, duplicated, or out-of-order data. UDP provides no reliability guarantees — delivery and duplicate protection are not guaranteed. Connection model: TCP is connection-oriented, establishing a connection via a three-way handshake before data transfer, and closing with FIN segments. UDP is connectionless — each datagram is independent with no connection setup or teardown. Header overhead: The TCP header is a minimum of 20 bytes (and can be larger with options). The UDP header is fixed at 8 bytes.",RFC 768/RFC 793,"TCP, UDP, reliable, connection-oriented, connectionless, header, sequence, acknowledgment, 20, 8",hard,comparative,"answer mentions TCP is reliable, UDP is not; answer mentions TCP is connection-oriented, UDP is connectionless; answer mentions TCP header >=20 bytes, UDP header = 8 bytes"
26,"What are the five main sections of a DNS message?","A DNS message consists of five sections: 1. Header (contains control information like OPCODE, RCODE, and counts of records in other sections). 2. Question (carries the query name, type, and class). 3. Answer (carries RRs that directly answer the query). 4. Authority (carries RRs pointing toward an authoritative name server). 5. Additional (carries RRs that may be helpful in using the RRs in the other sections).",RFC 1035,"Header, Question, Answer, Authority, Additional, sections, message",easy,factual,"answer lists exactly 5 sections; answer mentions Header and Question"
27,"What are the fields present in the fixed 12-byte DNS message header?","The DNS header contains the following fields: ID (a 16-bit identifier assigned by the program generating the query), QR (1-bit query/response flag), OPCODE (4-bit field specifying kind of query), AA (1-bit authoritative answer flag), TC (1-bit truncation flag), RD (1-bit recursion desired flag), RA (1-bit recursion available flag), Z (3 reserved bits), RCODE (4-bit response code), QDCOUNT (number of entries in question section), ANCOUNT (number of entries in answer section), NSCOUNT (number of entries in authority section), and ARCOUNT (number of entries in additional section).",RFC 1035,"ID, QR, OPCODE, AA, TC, RD, RA, RCODE, QDCOUNT, ANCOUNT, NSCOUNT, ARCOUNT",medium,conceptual,"answer mentions ""ID""; answer mentions ""QR""; answer mentions ""RCODE""; answer mentions the 4 count fields (QDCOUNT, ANCOUNT, NSCOUNT, ARCOUNT)"
28,"How does DNS message compression work to reduce the size of domain names?","DNS message compression uses pointers to eliminate the repetition of domain names within a message. A pointer is a 2-octet (16-bit) sequence where the first two bits are set to ""11"" (binary), and the remaining 14 bits specify an offset from the start of the DNS message. When a name server encounters a pointer, it reads the offset and jumps to that position in the message to read the rest of the domain name. This allows a suffix of a domain name (like ""example.com"") to be represented with just 2 bytes instead of repeating the characters.",RFC 1035,"compression, pointer, offset, 2-octet, 16-bit, 11, bits, reduce",medium,conceptual,"answer mentions ""pointer""; answer mentions ""offset""; answer mentions the two high bits are set (or ""11"")"
29,"What are the standard fields of a DNS Resource Record (RR)?","A standard DNS Resource Record contains the following fields: 1. NAME (the domain name where the RR is found). 2. TYPE (an encoded 16-bit value specifying the type of resource, e.g., A, MX, CNAME). 3. CLASS (an encoded 16-bit value identifying a protocol family, e.g., IN for Internet). 4. TTL (a 32-bit integer specifying the time-to-live in seconds). 5. RDLENGTH (a 16-bit integer specifying the length of the RDATA field in octets). 6. RDATA (variable-length data describing the resource, format depends on TYPE and CLASS).",RFC 1035,"NAME, TYPE, CLASS, TTL, RDLENGTH, RDATA, fields, Resource Record",easy,factual,"answer mentions ""NAME""; answer mentions ""TTL""; answer mentions ""RDATA""; answer mentions ""RDLENGTH"""
30,"What is the TYPE value for an MX (Mail Exchange) record, and what information does its RDATA field contain?","The TYPE value for an MX record is 15. The RDATA field for an MX record contains a 16-bit preference value (where lower values indicate higher preference) followed by a domain name (host name) that is willing to act as a mail exchange for the owner domain.",RFC 1035,"MX, TYPE, 15, preference, RDATA, mail exchange, domain name",medium,factual,"answer contains ""15""; answer mentions ""preference""; answer mentions host/domain name is included in RDATA"
